stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
11,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",Negative,"['the dark', ""room I've"", 'mosquito', 'bites.']","['left', '& instead of', 'bites.']","['left', ""room I've"", '& instead of', 'my translucent', 'mosquito']","['I finally', 'some sun on', 'skin,', 'mosquito', 'bites.']","['been crying in', '& instead of', 'bites.']","['I finally', 'been crying in', '& instead of', 'mosquito', 'bites.']",[],"['the dark', '& instead of', 'my translucent']",[],"['I finally', 'left', 'the dark', '& instead of', 'my translucent']","['I finally', 'left', '& instead of', 'some sun on', 'skin,']","['I finally', 'left', 'been crying in', '& instead of', 'some sun on']","['I finally', 'left', ""room I've"", 'some sun on', 'I got 6000']",[],"['I finally', 'left', 'been crying in', 'my translucent', 'bites.']","['left', 'getting', 'my translucent', 'skin,', 'mosquito']","['I finally', '& instead of', 'my translucent', 'skin,', 'mosquito']","['my translucent', 'skin,', 'mosquito']"
12,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality.",Negative,"['be a sudsy', 'tub of', 'supernatural', 'hokum,', 'from hopeless']","['A', 'of', 'Angels', 'itself to', 'be a sudsy', 'supernatural', ""Redgrave's"", 'efforts', 'can redeem it']","['Rumor', 'reveals', 'tub of', 'hokum,', 'Ms.', ""Redgrave's"", 'noblest', 'efforts', 'sentimentality.']","['A', 'Rumor', 'of', 'Angels', 'reveals', 'itself to', 'be a sudsy', 'tub of', 'supernatural']","['As', 'A', 'itself to', 'be a sudsy', 'tub of', 'hokum,', 'noblest', 'can redeem it', 'sentimentality.']","['A', 'of', 'itself to', 'be a sudsy', 'tub of', 'hokum,', 'noblest', 'can redeem it', 'sentimentality.']",[],"['Rumor', 'hokum,']",[],"['As', 'A', 'Rumor', 'of', 'tub of', 'hokum,', 'Ms.', 'noblest', 'can redeem it']","['As', 'A', 'of', 'reveals', 'not even', 'Ms.', 'noblest', 'can redeem it', 'sentimentality.']","['reveals', 'be a sudsy', 'noblest', 'can redeem it', 'sentimentality.']","['As', 'A', 'of', 'be a sudsy', 'not even', 'Ms.', 'noblest', 'can redeem it', 'sentimentality.']",['tub of'],"['Rumor', 'reveals', 'itself to', 'tub of', 'noblest']","['Angels', 'reveals', 'noblest', 'efforts', 'can redeem it', 'from hopeless', 'sentimentality.']","['A', 'reveals', ""Redgrave's"", 'noblest', 'can redeem it', 'from hopeless', 'sentimentality.']","['reveals', ""Redgrave's"", 'noblest', 'efforts', 'can redeem it', 'from hopeless', 'sentimentality.']"
13,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",Negative,"[""I've thrown"", 'smashed', 'smashed', 'sliced']","['Been at work for', 'hours and', ""I've thrown"", 'a mug,', 'a milk', 'my finger']","['not even 4', ""I've thrown"", 'boiling', 'tea', 'everywhere,', 'a mug,']","['everywhere,', 'a mug,', 'a milk', 'jug and', 'sliced', 'my finger']","['Been at work for', 'not even 4', 'tea', 'a mug,', 'jug and', 'my finger']","['Been at work for', 'not even 4', 'tea', 'a mug,', 'jug and', 'my finger']",[],"['Been at work for', 'hours and', ""I've thrown"", 'tea', 'smashed', 'a mug,']",[],"['Been at work for', 'hours and', ""I've thrown"", 'tea', 'smashed', 'a mug,']","['Been at work for', 'hours and', 'everywhere,', 'smashed', 'a milk', 'my finger']","['Been at work for', 'hours and', 'boiling', 'tea', 'everywhere,', 'a milk']","['Been at work for', 'everywhere,', 'smashed', 'smashed', 'a milk', 'sliced']",[],"['not even 4', 'hours and', 'everywhere,', 'smashed', 'smashed', 'my finger']","['Been at work for', 'everywhere,', 'smashed', 'jug and', 'sliced', 'my finger']","['Been at work for', 'hours and', ""I've thrown"", 'tea', 'smashed', 'sliced']","['Been at work for', ""I've thrown"", 'boiling', 'smashed', 'jug and', 'sliced']"
14,"Designed to provide a mix of smiles and tears, ""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",Negative,"['provokes a', 'howlers', 'yawns.']","['to provide', 'a mix of', 'smiles', 'provokes a', 'yawns.']","['smiles', '""""""Crossroads\'\'""', 'instead', 'unintentional', 'howlers']","['Designed', 'instead', 'handful of', 'and numerous', 'yawns.']","['Designed', 'to provide', 'smiles', 'and tears,', '""""""Crossroads\'\'""']","['to provide', 'smiles', 'and tears,', '""""""Crossroads\'\'""', 'howlers']",[],"['Designed', 'to provide', 'and tears,', '""""""Crossroads\'\'""', 'instead']",[],"['smiles', 'and tears,', '""""""Crossroads\'\'""', 'instead', 'handful of']","['smiles', 'and tears,', 'instead', 'provokes a', 'howlers']","['a mix of', 'smiles', 'and tears,', 'instead', 'provokes a']","['Designed', 'smiles', 'and tears,', 'instead', 'provokes a']",[],"['to provide', 'instead', 'provokes a', 'unintentional', 'howlers']","['and tears,', 'instead', 'handful of', 'howlers', 'yawns.']","['Designed', 'to provide', 'and tears,', '""""""Crossroads\'\'""', 'yawns.']","['Designed', 'instead', 'handful of', 'howlers', 'yawns.']"
15,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,"With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge.",Negative,"['no interesting', 'is a triple-espresso', 'endurance', 'challenge.']","['With virtually', 'no interesting', 'Chelsea', 'Walls']","['Chelsea', 'Walls', 'is a triple-espresso', 'endurance']","['focus on', 'Chelsea', 'is a triple-espresso', 'endurance']","['With virtually', 'no interesting', 'endurance', 'challenge.']","['no interesting', 'is a triple-espresso', 'endurance', 'challenge.']","['focus on', 'Chelsea', 'is a triple-espresso', 'endurance']","['no interesting', 'focus on', 'challenge.']",['no interesting'],"['no interesting', 'elements for', 'focus on', 'challenge.']","['elements for', 'focus on', 'Chelsea', 'Walls']","['elements for', 'focus on', 'Chelsea', 'Walls']","['With virtually', 'elements for', 'Chelsea', 'Walls']",['no interesting'],"['With virtually', 'elements for', 'focus on', 'Chelsea']","['focus on', 'is a triple-espresso', 'endurance', 'challenge.']","['focus on', 'Chelsea', 'is a triple-espresso', 'challenge.']","['With virtually', 'focus on', 'endurance', 'challenge.']"
17,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,"Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show.",Negative,"['saccharine,', 'concoction,', 'you realize that', 'a rejected']","['Partway through', 'watching this', 'saccharine,', 'concoction,', 'TV']","['watching this', 'saccharine,', 'Easter-egg-colored', 'concoction,', 'a rejected']","['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'concoction,']","['watching this', 'saccharine,', 'Easter-egg-colored', 'episodes of']","['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'episodes of']",[],"['you realize that', 'of three', 'a rejected', 'show.']",[],"['you realize that', 'of three', 'a rejected', 'show.']","['it is made up', 'of three', 'TV', 'show.']","['it is made up', 'of three', 'TV', 'show.']","['of three', 'TV', 'show.']",[],"['it is made up', 'a rejected', 'TV', 'show.']","['Partway through', 'saccharine,', 'concoction,', 'you realize that', 'TV']","['concoction,', 'you realize that', 'it is made up', 'TV', 'show.']","['saccharine,', 'you realize that', 'TV', 'show.']"
20,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,Negative,"['horror', 'mucking up its', 'with glitches']","['yet', 'franchise', 'mucking up its', 'storyline', 'with glitches', 'casual']","['yet', 'studio', 'horror', 'franchise', 'storyline', 'casual']","['yet', 'with glitches', 'casual', 'could', 'correct in', 'their sleep.']","['yet', 'horror', 'franchise', 'mucking up its', 'casual']","['yet', 'studio', 'horror', 'franchise', 'mucking up its', 'casual']","['yet', 'another', 'storyline', 'correct in']","['another', 'franchise', 'mucking up its', 'storyline', 'their sleep.']","[""Here's"", 'studio', 'horror', 'with glitches', 'fans', 'could']","['another', 'studio', 'mucking up its', 'storyline', 'their sleep.']","['yet', 'studio', 'horror', 'mucking up its', 'fans', 'could']","['yet', 'studio', 'horror', 'mucking up its', 'fans', 'could']","['yet', 'studio', 'horror', 'mucking up its']","[""Here's"", 'yet', 'another', 'horror', 'with glitches', 'could']","['yet', 'horror', 'with glitches', 'casual', 'fans', 'could']","[""Here's"", 'yet', 'another', 'horror', 'mucking up its', 'could']","[""Here's"", 'yet', 'studio', 'mucking up its', 'could', 'their sleep.']","[""Here's"", 'yet', 'another', 'horror', 'franchise', 'mucking up its']"
21,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,Negative,"['. . . a nightmare', 'a half-formed', 'wit', 'great', 'disservice by', 'a lack of', 'a sad']","['date with', 'a half-formed', 'wit', 'done a', 'great', 'critical', 'arts', 'sticker']","['. . . a nightmare', 'date with', 'a half-formed', 'wit', 'done a', 'critical', 'liberal', 'bumper']","['wit', 'critical', 'a sad', 'arts', 'college', 'bumper', 'sticker', 'platitudes.']","['disservice by', 'arts', 'bumper']","['wit', 'disservice by', 'a sad', 'trust in', 'liberal', 'arts', 'bumper', 'platitudes.']",[],"['. . . a nightmare', 'a half-formed', 'wit', 'done a', 'critical', 'a sad', 'trust in', 'college']",[],"['. . . a nightmare', 'wit', 'great', 'critical', 'a sad', 'liberal', 'arts', 'college']","['. . . a nightmare', 'wit', 'critical', 'a sad', 'liberal', 'arts', 'college', 'platitudes.']","['. . . a nightmare', 'wit', 'a lack of', 'critical', 'a sad', 'liberal', 'arts', 'college']",[],[],"['. . . a nightmare', 'a half-formed', 'liberal', 'platitudes.']","['disservice by', 'a lack of', 'arts', 'bumper', 'sticker']","['wit', 'disservice by', 'a lack of', 'liberal', 'platitudes.']",['arts']
23,@mashable For some reason this has filled me with delight. See Auntie laugh.,Positive,"['me with delight.', 'Auntie', 'laugh.']","['this has filled', 'me with delight.', 'laugh.']","['For some reason', 'Auntie', 'laugh.']","['@mashable', 'Auntie', 'laugh.']","['this has filled', 'me with delight.']","['this has filled', 'me with delight.', 'laugh.']","['@mashable', 'me with delight.']",['For some reason'],"['this has filled', 'Auntie']","['@mashable', 'this has filled', 'me with delight.']","['@mashable', 'this has filled', 'me with delight.']","['@mashable', 'this has filled', 'me with delight.']","['@mashable', 'this has filled', 'me with delight.']","['me with delight.', 'Auntie']","['me with delight.', 'See', 'Auntie']","['@mashable', 'See', 'Auntie']","['For some reason', 'this has filled', 'me with delight.']","['For some reason', 'me with delight.']"
24,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,Positive,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
25,@rickysnecklace I'm so proud Mils! Keep smiling,Positive,[],['Keep'],['Mils!'],"[""I'm so proud""]",[],['Keep'],[],['Mils!'],[],['Mils!'],['smiling'],"[""I'm so proud""]",[],['Keep'],"[""I'm so proud""]",['smiling'],['Keep'],[]
26,Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work.,Positive,"['Candid and', 'comfortable;', 'that deftly', 'balances', 'the passion']","['comfortable;', 'a film', 'that deftly', 'balances', 'others']","['Candid and', 'comfortable;', 'a film', 'action', 'others']","['Candid and', 'comfortable;', 'that deftly', 'balances', 'and reflection']","['that deftly', 'as it lets', 'you grasp', 'have for their work.']","['that deftly', 'as it lets', 'you grasp', 'and feel', 'have for their work.']",['you grasp'],"['comfortable;', 'a film', 'the passion', 'have for their work.']",['as it lets'],"['comfortable;', 'a film', 'and feel', 'the passion', 'have for their work.']","['that deftly', 'as it lets', 'you grasp', 'others', 'have for their work.']","['that deftly', 'and reflection', 'as it lets', 'you grasp', 'have for their work.']","['that deftly', 'as it lets', 'you grasp', 'have for their work.']","['Candid and', 'comfortable;', 'action', 'as it lets', 'the passion']","['that deftly', 'action', 'as it lets', 'you grasp', 'others']","['action', 'and feel', 'the passion', 'others', 'have for their work.']","['Candid and', 'action', 'and feel', 'the passion', 'others']","['and feel', 'the passion', 'others', 'have for their work.']"
27,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,Positive,"['capture so', 'perfectly the', 'hopes and', 'dreams of']","['Few films', 'hopes and', 'dreams of', 'little', 'the grown', 'the stands.']","['Few films', 'capture so', 'hopes and', 'little', 'baseball', 'the grown']","['Few films', 'perfectly the', 'the grown', 'men who', 'sit in', 'the stands.']","['capture so', 'hopes and', 'as well as', 'men who', 'the stands.']","['Few films', 'capture so', 'hopes and', 'as well as', 'men who', 'the stands.']","['capture so', 'perfectly the']","['capture so', 'sit in', 'the stands.']","['fields', 'as well as']","['Few films', 'capture so', 'as well as', 'men who', 'sit in', 'the stands.']","['Few films', 'hopes and', 'boys on', 'fields', 'as well as', 'men who']","['Few films', 'perfectly the', 'hopes and', 'fields', 'as well as', 'men who']","['perfectly the', 'hopes and', 'fields', 'as well as', 'men who']","['capture so', 'hopes and', 'baseball', 'fields', 'as well as']","['boys on', 'baseball', 'fields', 'as well as', 'the grown', 'men who']","['capture so', 'perfectly the', 'hopes and', 'little', 'men who', 'sit in']","['perfectly the', 'hopes and', 'dreams of', 'men who', 'sit in', 'the stands.']","['perfectly the', 'hopes and', 'little', 'men who', 'sit in']"
28,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work.,Positive,"['refreshing', 'prevalent', 'being a visible']","['rural', 'French', 'school', 'refreshing', 'prevalent', 'technique of', 'the docu-makers']","['The fly-on-the-wall', 'method', 'rural', 'French', 'refreshing', 'the docu-makers', 'being a visible']","['method', 'rural', 'life is a', 'refreshing', 'departure from', 'the now more', 'prevalent']","['school', 'life is a', 'refreshing', 'departure from']","['The fly-on-the-wall', 'school', 'life is a', 'refreshing', 'departure from', 'the now more', 'prevalent']",[],"['life is a', 'the docu-makers', 'being a visible', 'their work.']",[],"['rural', 'school', 'life is a', 'prevalent', 'the docu-makers', 'being a visible', 'their work.']","['document', 'school', 'life is a', 'refreshing', 'the now more', 'prevalent', 'technique of']","['document', 'school', 'life is a', 'refreshing', 'prevalent', 'technique of', 'their work.']","['school', 'life is a', 'refreshing', 'technique of']",['refreshing'],"['The fly-on-the-wall', 'document', 'school', 'refreshing', 'the now more', 'prevalent', 'their work.']","['The fly-on-the-wall', 'method', 'French', 'departure from', 'prevalent', 'technique of', 'part of']","['The fly-on-the-wall', 'method', 'French', 'refreshing', 'departure from', 'prevalent', 'part of']","['method', 'French', 'prevalent', 'technique of']"
29,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in Hollywood's hastier productions.,Positive,"['is beautiful', 'and engages']","['The movie', 'is beautiful', 'to behold', 'struggle', ""Hollywood's""]","['and engages', '-- inner and', ""Hollywood's"", 'hastier', 'productions.']","['is beautiful', 'to behold', 'and engages', 'one in a sense', 'of epic']","['is beautiful', 'to behold', 'struggle', 'productions.']","['is beautiful', 'to behold', 'and engages', 'struggle', 'productions.']","['one in a sense', ""outer -- that's"", 'productions.']","['struggle', '-- inner and', 'productions.']","['is beautiful', 'of epic', 'all too rare in']","['is beautiful', 'one in a sense', 'struggle', '-- inner and', 'productions.']","['is beautiful', 'and engages', 'struggle', 'all too rare in', 'productions.']","['is beautiful', 'and engages', 'one in a sense', 'all too rare in', 'productions.']","['is beautiful', 'struggle', 'all too rare in', 'productions.']","['The movie', 'one in a sense', 'of epic', 'struggle', '-- inner and']","['is beautiful', 'of epic', '-- inner and', ""outer -- that's"", 'productions.']","['one in a sense', 'of epic', 'struggle', ""outer -- that's"", 'productions.']","['The movie', 'and engages', 'of epic', 'struggle', 'all too rare in']","['The movie', 'one in a sense', 'of epic', '-- inner and', 'productions.']"
30,"@chasejarvis Honestly, been hearing this over and over again...it's kinda imprinted on my mind now. Thanks! #Strategy",Positive,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
31,"Sometimes, you just need to eat a delicious piece of chocolate to remind yourself that there's no need to be bitter. Sweetness redeems.",Positive,"[""there's no need"", 'to be bitter.', 'redeems.']","['delicious', 'piece of', 'chocolate', 'yourself that', 'Sweetness']","['delicious', 'to remind', ""there's no need"", 'Sweetness', 'redeems.']","['Sometimes,', 'chocolate', 'to be bitter.', 'Sweetness', 'redeems.']","['Sometimes,', 'chocolate', 'to remind', 'to be bitter.', 'Sweetness']","['chocolate', 'to remind', ""there's no need"", 'to be bitter.', 'Sweetness']",[],"['Sometimes,', 'you just need', 'piece of', 'to remind', 'Sweetness']",[],"['Sometimes,', 'you just need', 'delicious', 'piece of', 'to remind']","['Sometimes,', 'you just need', 'delicious', 'piece of', 'to remind']","['Sometimes,', 'you just need', 'delicious', 'piece of', 'to remind']","['Sometimes,', 'you just need', 'delicious', 'piece of', 'to remind']",['to remind'],"['delicious', 'piece of', 'chocolate', 'to remind', 'to be bitter.']","['Sometimes,', 'to eat a', 'delicious', 'to remind', 'yourself that']","['Sometimes,', 'you just need', 'to eat a', 'delicious', 'yourself that']","['to eat a', 'delicious', 'yourself that', 'Sweetness']"
