stim_id,text,style,hummingbird annotations,captum scores,surprisal,Dwell Time z_score,Dwell Time pred,Dwell Time raw,Reread Time z_score,Reread Time raw,Go Past Time z_score,Go Past Time raw,First Run Dwell z_score,First Run Dwell raw,First Run Dwell pred,First Fixation Duration z_score,First Fixation Duration raw,Pupil Size z_score,Pupil Size raw,Pupil Size pred
12,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality.",Negative,"['be a sudsy', 'tub of', 'supernatural', 'hokum,', 'from hopeless']","['A', 'of', 'Angels', 'itself to', 'be a sudsy', 'supernatural', ""Redgrave's"", 'efforts', 'can redeem it']","['Rumor', 'reveals', 'tub of', 'hokum,', 'Ms.', ""Redgrave's"", 'noblest', 'efforts', 'sentimentality.']","['A', 'Rumor', 'of', 'Angels', 'reveals', 'itself to', 'be a sudsy', 'tub of', 'supernatural']","['itself to', 'be a sudsy', 'tub of', 'supernatural', ""Redgrave's"", 'can redeem it', 'from hopeless', 'sentimentality.']","['Rumor', 'reveals', 'itself to', 'be a sudsy', 'supernatural', 'hokum,', 'can redeem it', 'from hopeless', 'sentimentality.']",[],"['Rumor', 'supernatural', 'hokum,', 'not even', 'sentimentality.']",[],"['be a sudsy', 'supernatural', 'hokum,', 'not even', 'sentimentality.']","['be a sudsy', 'tub of', 'can redeem it', 'from hopeless', 'sentimentality.']","['be a sudsy', 'tub of', 'can redeem it', 'from hopeless', 'sentimentality.']","['itself to', 'be a sudsy', 'tub of', 'supernatural', ""Redgrave's"", 'can redeem it', 'from hopeless', 'sentimentality.']",['tub of'],"['reveals', 'tub of', 'hokum,', 'noblest', 'from hopeless']","['A', 'Rumor', 'Angels', 'reveals', 'can redeem it', 'from hopeless', 'sentimentality.']","['Rumor', 'Angels', 'reveals', 'hokum,', 'can redeem it', 'from hopeless', 'sentimentality.']","['A', 'Rumor', 'of', 'reveals', 'be a sudsy', 'tub of', 'hokum,', 'Ms.']"
13,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",Negative,"[""I've thrown"", 'smashed', 'smashed', 'sliced']","['Been at work for', 'hours and', ""I've thrown"", 'a mug,', 'a milk', 'my finger']","['not even 4', ""I've thrown"", 'boiling', 'tea', 'everywhere,', 'a mug,']","['Been at work for', 'not even 4', 'hours and', ""I've thrown"", 'smashed', 'smashed']","['not even 4', ""I've thrown"", 'boiling', 'everywhere,', 'my finger']","['Been at work for', 'not even 4', ""I've thrown"", 'boiling', 'everywhere,', 'my finger']",[],"['not even 4', 'hours and', ""I've thrown"", 'tea', 'a milk', 'my finger']",[],"['Been at work for', 'not even 4', 'hours and', ""I've thrown"", 'everywhere,', 'my finger']","['Been at work for', ""I've thrown"", 'everywhere,', 'smashed', 'smashed', 'my finger']","['Been at work for', ""I've thrown"", 'everywhere,', 'smashed', 'a milk', 'my finger']","['not even 4', ""I've thrown"", 'boiling', 'everywhere,', 'my finger']",[],"['hours and', 'boiling', 'everywhere,', 'smashed', 'smashed', 'my finger']","['Been at work for', 'everywhere,', 'smashed', 'smashed', 'sliced', 'my finger']","['Been at work for', 'not even 4', 'hours and', 'everywhere,', 'a mug,', 'a milk']","['boiling', 'tea', 'a mug,', 'a milk', 'sliced']"
14,"Designed to provide a mix of smiles and tears, ""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",Negative,"['provokes a', 'howlers', 'yawns.']","['to provide', 'a mix of', 'smiles', 'provokes a', 'yawns.']","['smiles', '""""""Crossroads\'\'""', 'instead', 'unintentional', 'howlers']","['Designed', 'to provide', 'a mix of', 'smiles', 'instead']","['""""""Crossroads\'\'""', 'provokes a', 'unintentional', 'howlers']","['Designed', 'to provide', 'a mix of', '""""""Crossroads\'\'""', 'and numerous']",[],"['to provide', '""""""Crossroads\'\'""', 'and numerous', 'yawns.']",[],"['to provide', '""""""Crossroads\'\'""', 'and numerous', 'yawns.']","['Designed', '""""""Crossroads\'\'""', 'instead', 'unintentional', 'howlers']","['Designed', 'and tears,', '""""""Crossroads\'\'""', 'howlers']","['""""""Crossroads\'\'""', 'provokes a', 'unintentional', 'and numerous']",[],"['Designed', 'and tears,', 'provokes a', 'howlers']","['Designed', 'to provide', 'smiles', 'instead', 'yawns.']","['smiles', 'instead', 'handful of', 'unintentional', 'howlers']","['smiles', 'instead', 'howlers', 'yawns.']"
15,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,"With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge.",Negative,"['no interesting', 'is a triple-espresso', 'endurance', 'challenge.']","['With virtually', 'no interesting', 'Chelsea', 'Walls']","['Chelsea', 'Walls', 'is a triple-espresso', 'endurance']","['With virtually', 'no interesting', 'elements for', 'endurance']","['no interesting', 'an audience to', 'is a triple-espresso']","['With virtually', 'no interesting', 'is a triple-espresso', 'challenge.']",['challenge.'],"['no interesting', 'focus on', 'Walls', 'challenge.']",['elements for'],"['no interesting', 'focus on', 'Walls', 'challenge.']","['With virtually', 'elements for', 'is a triple-espresso', 'challenge.']","['With virtually', 'elements for', 'an audience to', 'is a triple-espresso']","['no interesting', 'an audience to', 'is a triple-espresso']",['elements for'],"['With virtually', 'elements for', 'focus on', 'challenge.']","['With virtually', 'focus on', 'Chelsea', 'challenge.']","['With virtually', 'focus on', 'Chelsea', 'challenge.']","['Chelsea', 'Walls', 'endurance']"
17,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,"Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show.",Negative,"['saccharine,', 'concoction,', 'you realize that', 'a rejected']","['Partway through', 'watching this', 'saccharine,', 'concoction,', 'TV']","['watching this', 'saccharine,', 'Easter-egg-colored', 'concoction,', 'a rejected']","['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'concoction,']","['saccharine,', 'Easter-egg-colored', 'you realize that', 'it is made up']","['Partway through', 'watching this', 'saccharine,', 'Easter-egg-colored', 'you realize that']",[],"['you realize that', 'of three', 'a rejected', 'show.']",[],"['you realize that', 'of three', 'a rejected', 'show.']","['Partway through', 'Easter-egg-colored', 'of three', 'a rejected']","['Partway through', 'Easter-egg-colored', 'it is made up', 'of three']","['watching this', 'Easter-egg-colored', 'you realize that', 'it is made up']",[],"['concoction,', 'a rejected', 'TV', 'show.']","['Partway through', 'watching this', 'a rejected', 'TV', 'show.']","['Partway through', 'saccharine,', 'a rejected', 'TV', 'show.']","['saccharine,', 'a rejected', 'TV', 'show.']"
20,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,Negative,"['horror', 'mucking up its', 'with glitches']","['yet', 'franchise', 'mucking up its', 'storyline', 'with glitches', 'casual']","['yet', 'studio', 'horror', 'franchise', 'storyline', 'casual']","[""Here's"", 'yet', 'studio', 'horror', 'casual', 'could']","['mucking up its', 'storyline', 'with glitches', 'correct in', 'their sleep.']","['horror', 'franchise', 'mucking up its', 'with glitches', 'casual', 'correct in']","['yet', 'another', 'fans', 'correct in']","['another', 'mucking up its', 'with glitches', 'correct in', 'their sleep.']","['studio', 'franchise', 'mucking up its', 'with glitches']","['yet', 'mucking up its', 'with glitches', 'correct in', 'their sleep.']","['yet', 'mucking up its', 'with glitches', 'correct in', 'their sleep.']","['yet', 'studio', 'franchise', 'mucking up its', 'their sleep.']","['mucking up its', 'storyline', 'with glitches', 'correct in', 'their sleep.']","['horror', 'franchise', 'with glitches', 'casual']","['yet', 'franchise', 'with glitches', 'casual', 'their sleep.']","[""Here's"", 'yet', 'another', 'studio', 'storyline', 'with glitches']","['yet', 'another', 'studio', 'storyline', 'with glitches', 'casual']","['yet', 'studio', 'horror', 'casual', 'could']"
21,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,Negative,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,Negative,"['. . . a nightmare', 'a half-formed', 'wit', 'great', 'disservice by', 'a lack of', 'a sad']","['date with', 'a half-formed', 'wit', 'done a', 'great', 'critical', 'arts', 'sticker']","['. . . a nightmare', 'date with', 'a half-formed', 'wit', 'done a', 'critical', 'liberal', 'bumper']","['. . . a nightmare', 'date with', 'a half-formed', 'wit', 'done a', 'great', 'disservice by']","['date with', 'disservice by', 'platitudes.']","['. . . a nightmare', 'date with', 'a half-formed', 'done a', 'disservice by', 'a lack of', 'bumper']",[],"['disservice by', 'a lack of', 'sticker', 'platitudes.']",[],"['done a', 'disservice by', 'a lack of', 'platitudes.']","['. . . a nightmare', 'a half-formed', 'wit', 'done a', 'critical', 'a sad', 'trust in', 'college']","['. . . a nightmare', 'a half-formed', 'done a', 'trust in']","['date with', 'disservice by', 'platitudes.']",[],"['a half-formed', 'done a', 'trust in', 'arts']","['. . . a nightmare', 'date with', 'disservice by', 'a lack of', 'liberal']","['. . . a nightmare', 'date with', 'disservice by', 'a lack of', 'arts']","['wit', 'arts', 'bumper']"
23,@mashable For some reason this has filled me with delight. See Auntie laugh.,Positive,"['me with delight.', 'Auntie', 'laugh.']","['this has filled', 'me with delight.', 'laugh.']","['For some reason', 'Auntie', 'laugh.']","['@mashable', 'See', 'Auntie']","['For some reason', 'this has filled']","['For some reason', 'this has filled', 'Auntie']","['See', 'Auntie', 'laugh.']","['For some reason', 'Auntie', 'laugh.']","['this has filled', 'me with delight.']","['For some reason', 'Auntie', 'laugh.']","['For some reason', 'this has filled', 'me with delight.']","['For some reason', 'this has filled', 'me with delight.']","['For some reason', 'this has filled']","['@mashable', 'me with delight.']","['@mashable', 'me with delight.', 'Auntie']","['@mashable', 'See', 'laugh.']","['For some reason', 'Auntie', 'laugh.']","['See', 'laugh.']"
24,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,Positive,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
25,@rickysnecklace I'm so proud Mils! Keep smiling,Positive,[],['Keep'],['Mils!'],"[""I'm so proud""]",[],['@rickysnecklace'],[],['smiling'],[],['smiling'],"[""I'm so proud""]","[""I'm so proud""]",[],['smiling'],['smiling'],['@rickysnecklace'],['Keep'],[]
26,Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work.,Positive,"['Candid and', 'comfortable;', 'that deftly', 'balances', 'the passion']","['comfortable;', 'a film', 'that deftly', 'balances', 'others']","['Candid and', 'comfortable;', 'a film', 'action', 'others']","['Candid and', 'comfortable;', 'that deftly', 'balances', 'and reflection']","['comfortable;', 'that deftly', 'and reflection', 'have for their work.']","['that deftly', 'balances', 'as it lets', 'you grasp', 'have for their work.']","['Candid and', 'comfortable;', 'action', 'others', 'have for their work.']","['comfortable;', 'as it lets', 'the passion', 'others', 'have for their work.']",['that deftly'],"['as it lets', 'you grasp', 'the passion', 'others', 'have for their work.']","['a film', 'that deftly', 'as it lets', 'you grasp', 'have for their work.']","['a film', 'that deftly', 'balances', 'and reflection', 'have for their work.']","['comfortable;', 'that deftly', 'and reflection', 'have for their work.']","['and reflection', 'as it lets', 'others']","['balances', 'action', 'and reflection', 'as it lets', 'others']","['Candid and', 'comfortable;', 'a film', 'and reflection', 'have for their work.']","['comfortable;', 'a film', 'as it lets', 'you grasp', 'have for their work.']","['a film', 'action', 'and feel', 'others']"
27,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,Positive,"['capture so', 'perfectly the', 'hopes and', 'dreams of']","['Few films', 'hopes and', 'dreams of', 'little', 'the grown', 'the stands.']","['Few films', 'capture so', 'hopes and', 'little', 'baseball', 'the grown']","['Few films', 'capture so', 'perfectly the', 'dreams of', 'boys on', 'as well as']","['capture so', 'perfectly the', 'hopes and', 'as well as', 'the grown']","['Few films', 'capture so', 'perfectly the', 'boys on', 'as well as', 'the stands.']","['capture so', 'perfectly the']","['capture so', 'perfectly the', 'boys on', 'fields', 'the grown', 'the stands.']","['Few films', 'dreams of']","['Few films', 'capture so', 'perfectly the', 'boys on', 'the grown', 'the stands.']","['Few films', 'perfectly the', 'hopes and', 'baseball', 'men who', 'the stands.']","['Few films', 'perfectly the', 'baseball', 'as well as', 'men who', 'the stands.']","['capture so', 'perfectly the', 'hopes and', 'as well as', 'the grown']","['hopes and', 'little', 'boys on', 'baseball', 'sit in', 'the stands.']","['Few films', 'perfectly the', 'hopes and', 'little', 'sit in', 'the stands.']","['Few films', 'capture so', 'perfectly the', 'hopes and', 'boys on', 'the stands.']","['Few films', 'capture so', 'perfectly the', 'little', 'baseball', 'the stands.']","['capture so', 'little', 'boys on', 'baseball', 'sit in']"
28,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work.,Positive,"['refreshing', 'prevalent', 'being a visible']","['rural', 'French', 'school', 'refreshing', 'prevalent', 'technique of', 'the docu-makers']","['The fly-on-the-wall', 'method', 'rural', 'French', 'refreshing', 'the docu-makers', 'being a visible']","['The fly-on-the-wall', 'used to', 'document', 'rural', 'departure from', 'the now more', 'prevalent']","['departure from', 'technique of', 'being a visible', 'their work.']","['The fly-on-the-wall', 'document', 'refreshing', 'departure from', 'the now more', 'the docu-makers', 'being a visible']",[],"['document', 'life is a', 'refreshing', 'technique of', 'the docu-makers', 'being a visible', 'their work.']",[],"['The fly-on-the-wall', 'life is a', 'the now more', 'technique of', 'the docu-makers', 'being a visible', 'their work.']","['The fly-on-the-wall', 'departure from', 'the now more', 'prevalent', 'technique of', 'the docu-makers', 'being a visible']","['The fly-on-the-wall', 'life is a', 'departure from', 'the now more', 'technique of', 'the docu-makers', 'being a visible']","['departure from', 'technique of', 'being a visible', 'their work.']",['prevalent'],"['The fly-on-the-wall', 'method', 'rural', 'French', 'school', 'refreshing', 'prevalent']","['The fly-on-the-wall', 'method', 'French', 'life is a', 'refreshing', 'prevalent', 'technique of']","['The fly-on-the-wall', 'method', 'school', 'refreshing', 'prevalent', 'technique of', 'their work.']","['method', 'rural', 'French', 'school']"
29,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in Hollywood's hastier productions.,Positive,"['is beautiful', 'and engages']","['The movie', 'is beautiful', 'to behold', 'struggle', ""Hollywood's""]","['and engages', '-- inner and', ""Hollywood's"", 'hastier', 'productions.']","['The movie', 'is beautiful', 'to behold', 'and engages', 'one in a sense']","['one in a sense', '-- inner and', ""outer -- that's"", 'all too rare in']","['is beautiful', 'to behold', 'one in a sense', 'all too rare in', 'hastier']","['of epic', ""outer -- that's"", 'productions.']","['is beautiful', 'struggle', '-- inner and', 'hastier', 'productions.']","['and engages', 'one in a sense', ""Hollywood's""]","['one in a sense', 'struggle', '-- inner and', 'hastier', 'productions.']","['is beautiful', 'to behold', 'one in a sense', 'all too rare in', 'hastier']","['is beautiful', 'to behold', 'one in a sense', 'all too rare in', 'hastier']","['one in a sense', '-- inner and', ""outer -- that's"", 'all too rare in']","['is beautiful', 'and engages', ""Hollywood's"", 'hastier']","['to behold', 'one in a sense', 'of epic', '-- inner and', 'hastier']","['The movie', 'is beautiful', 'to behold', 'of epic', 'struggle']","['The movie', 'is beautiful', 'to behold', ""outer -- that's"", 'hastier']","['of epic', 'struggle', '-- inner and', 'hastier']"
30,"@chasejarvis Honestly, been hearing this over and over again...it's kinda imprinted on my mind now. Thanks! #Strategy",Positive,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
