stim_id,text,style,baseline
11,"I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",Negative,"{""id"": ""cmpl-68YeBf7zpqIB22h3cHgs2mJ7vvzYI"", ""object"": ""text_completion"", ""created"": 1667497827, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.3027477, -0.0023430188, -2.4116752, -1.0751812, -0.6209354, -1.182378, -0.11578316, -0.00015386345], ""top_logprobs"": [{"" Negative"": -0.3027477, ""\n"": -1.3946131, ""Neg"": -5.8660064, "" The"": -6.0271883, "" negative"": -6.1240115}, {""<|endoftext|>"": -0.0023430188, ""."": -6.1560364, ""\n"": -9.300255, "" text"": -11.048484, ""\n\n"": -11.616649}, {""#"": -2.4116752, ""\n"": -2.558833, ""Q"": -2.625429, ""\"""": -3.6781347, ""The"": -3.9597287}, {""include"": -1.0751812, ""!/"": -1.817542, ""if"": -2.5227292, "" -"": -3.520342, ""pr"": -3.5259058}, {"" <"": -0.6209354, "" \"""": -1.127882, ""<"": -2.0428412, ""\"""": -5.253414, ""\t"": -7.371657}, {""std"": -1.182378, ""i"": -1.4458373, ""bits"": -1.95243, ""c"": -3.033619, ""string"": -3.4256163}, {""io"": -0.11578316, ""lib"": -2.6728852, ""int"": -4.2396064, ""except"": -4.5513606, ""."": -4.6289124}, {""."": -0.00015386345, "">"": -9.346389, ""_"": -10.160093, ""h"": -12.045283, "","": -13.177431}], ""text_offset"": [220, 229, 229, 229, 229, 229, 229, 229]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 51, ""completion_tokens"": 1, ""total_tokens"": 52}}"
12,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality.",Negative,"{""id"": ""cmpl-68YeNN1WcjGvQOvQiJE9hqHIIFAHD"", ""object"": ""text_completion"", ""created"": 1667497839, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.08954483, -0.006206044, -2.912319, -1.0269226, -0.05536776, -0.076097555, -0.167372, -1.0411044], ""top_logprobs"": [{""\n"": -2.600181, ""Neg"": -5.923275, "" Negative"": -0.08954483, "" The"": -6.0887055, "" negative"": -6.322933}, {""."": -5.175674, ""\n"": -7.9724116, "" text"": -10.679807, ""<|endoftext|>"": -0.006206044, ""\n\n"": -10.394429}, {""\"""": -3.5522847, ""\n"": -2.912319, ""#"": -3.4219072, ""The"": -3.3392208, ""Q"": -3.5022628}, {""import"": -3.641525, ""\n"": -1.2187095, ""#"": -2.5353434, ""%"": -2.7667508, ""\\"": -1.0269226}, {""Requ"": -4.4474144, ""document"": -0.05536776, ""begin"": -5.1959724, ""new"": -4.746951, ""def"": -4.8764772}, {"" class"": -8.893352, "" style"": -9.6343565, ""class"": -0.076097555, ""style"": -2.622221, ""Class"": -10.90673}, {""["": -0.167372, ""{"": -1.9454701, "" ["": -5.110241, ""[]"": -5.647953, "" {"": -7.647322}, {""12"": -1.0411044, ""11"": -2.1534169, ""10"": -2.6673062, ""a"": -2.6724036, ""use"": -3.1613312}], ""text_offset"": [242, 251, 251, 251, 251, 251, 251, 251]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 59, ""completion_tokens"": 1, ""total_tokens"": 60}}"
13,"Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",Negative,"{""id"": ""cmpl-68YeYOStG0kqsJUU5lANteOOpvaAF"", ""object"": ""text_completion"", ""created"": 1667497850, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" following"", "" is"", "" a""], ""token_logprobs"": [-0.23818138, -0.010457909, -2.6861775, -0.49620947, -3.176086, -3.2357268, -1.6308882, -0.5250434], ""top_logprobs"": [{""\n"": -1.6017717, ""negative"": -7.0708833, ""Neg"": -6.3312488, "" Negative"": -0.23818138, "" negative"": -5.809786}, {""."": -4.6123276, ""\n"": -8.651615, "" text"": -9.835398, ""<|endoftext|>"": -0.010457909, ""\n\n"": -10.446904}, {""\"""": -4.0250144, ""\n"": -2.6861775, ""#"": -2.8405135, ""The"": -3.9003081, ""Q"": -3.094986}, {""%%"": -4.02364, ""\n"": -0.49620947, ""#"": -2.7424023, ""%"": -3.466069, ""\\"": -1.8518842}, {""A"": -3.6527119, ""B"": -3.7081404, ""I"": -4.1512284, ""The"": -3.176086, ""P"": -4.230079}, {""sa"": -4.638149, "" following"": -3.2357268, "" product"": -4.551347, "" Canadian"": -4.209895, "" first"": -5.0507765}, {"" list"": -3.6278763, "" questions"": -1.6618469, "" is"": -1.6308882, "" message"": -2.2159321, "" are"": -3.0340774}, {"" a"": -0.5250434, "" the"": -2.5535355, "" an"": -2.0978725, "" from"": -2.3210201, "" my"": -4.6285644}], ""text_offset"": [215, 224, 224, 224, 224, 224, 224, 224]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 48, ""completion_tokens"": 1, ""total_tokens"": 49}}"
14,"Designed to provide a mix of smiles and tears, ""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",Negative,"{""id"": ""cmpl-68YeixcYmvYRIObcjqBDKC49oG5lS"", ""object"": ""text_completion"", ""created"": 1667497860, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.11153052, -0.011712234, -2.6798851, -1.1086332, -0.06433113, -0.07980969, -0.16046925, -1.0482149], ""top_logprobs"": [{"" Neg"": -6.848493, ""\n"": -2.367488, ""Neg"": -5.4880133, "" Negative"": -0.11153052, "" negative"": -6.1624}, {""."": -4.50909, ""\n"": -8.106559, "" text"": -9.702675, ""<|endoftext|>"": -0.011712234, ""\n\n"": -10.352994}, {""\n"": -2.6798851, ""#"": -2.7910624, ""Q"": -3.217006, ""The"": -3.4334278, ""\"""": -3.6758966}, {""\\"": -1.1086332, ""\n"": -1.1261504, ""#"": -2.498843, ""%"": -2.861941, ""%%"": -3.521248}, {""document"": -0.06433113, ""new"": -4.3494864, ""Requ"": -4.3938494, ""def"": -4.7915936, ""begin"": -5.1867027}, {""class"": -0.07980969, ""style"": -2.577787, "" class"": -8.63495, "" style"": -9.29232, ""Class"": -10.720943}, {""["": -0.16046925, ""{"": -1.9827731, "" ["": -5.1800094, ""[]"": -5.679531, "" {"": -7.775997}, {""12"": -1.0482149, ""11"": -2.194438, ""10"": -2.623771, ""a"": -2.635031, ""use"": -3.1631355}], ""text_offset"": [214, 223, 223, 223, 223, 223, 223, 223]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 47, ""completion_tokens"": 1, ""total_tokens"": 48}}"
15,"It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",Negative,"{""id"": ""cmpl-68YetniNoNuA1HBkuSF3cxxVt1fdR"", ""object"": ""text_completion"", ""created"": 1667497871, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.19667919, -0.0044043656, -2.0643818, -1.0638441, -0.63355166, -1.1674138, -0.120295025, -0.0001492143], ""top_logprobs"": [{"" Negative"": -0.19667919, ""\n"": -1.8068465, ""Neg"": -5.592901, "" negative"": -5.943333, "" The"": -6.0417495}, {""<|endoftext|>"": -0.0044043656, ""."": -5.559555, ""\n"": -8.169136, ""\n\n"": -10.260251, "" text"": -10.340488}, {""#"": -2.0643818, ""\n"": -2.3648808, ""Q"": -3.3289301, ""\"""": -3.6881132, ""The"": -3.9399977}, {""pr"": -3.3456397, ""include"": -1.0638441, ""if"": -2.4796636, ""!/"": -1.7321957, "" -"": -3.5634983}, {""\"""": -5.213849, "" <"": -0.63355166, ""\t"": -7.425674, ""<"": -2.070898, "" \"""": -1.097498}, {""std"": -1.1674138, ""c"": -3.034716, ""i"": -1.4802467, ""string"": -3.42756, ""bits"": -1.9479887}, {""io"": -0.120295025, ""lib"": -2.6565213, ""int"": -4.147977, ""except"": -4.4650164, ""."": -4.5819836}, {""."": -0.0001492143, "">"": -9.38214, ""_"": -10.2136135, ""h"": -12.19598, "","": -13.122513}], ""text_offset"": [169, 178, 178, 178, 178, 178, 178, 178]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 50, ""completion_tokens"": 1, ""total_tokens"": 51}}"
16,"With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge.",Negative,"{""id"": ""cmpl-68Yet6EpHntcHrGGojJLCSKBSrOoM"", ""object"": ""text_completion"", ""created"": 1667497871, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.12598255, -0.009461637, -2.6805184, -1.0640517, -0.06387573, -0.07659568, -0.1714843, -1.0968151], ""top_logprobs"": [{"" Negative"": -0.12598255, ""\n"": -2.2181952, ""Neg"": -6.057722, "" negative"": -6.066732, ""negative"": -7.0513325}, {""<|endoftext|>"": -0.009461637, ""."": -4.719224, ""\n"": -8.456045, "" text"": -10.004758, ""\n\n"": -10.53319}, {""\n"": -2.6805184, ""#"": -2.762212, ""Q"": -3.2736406, ""\"""": -3.5805087, ""The"": -3.749125}, {""\\"": -1.0640517, ""\n"": -1.4293804, ""#"": -2.2052183, ""%"": -2.9707232, ""%%"": -3.6801689}, {""document"": -0.06387573, ""new"": -4.3328996, ""Requ"": -4.670403, ""def"": -4.7505107, ""begin"": -5.159451}, {""class"": -0.07659568, ""style"": -2.6147442, "" class"": -9.5086, "" style"": -10.12845, ""Class"": -10.866459}, {""["": -0.1714843, ""{"": -1.9158921, "" ["": -5.240343, ""[]"": -5.6344995, "" {"": -7.824187}, {""12"": -1.0968151, ""11"": -2.1782398, ""10"": -2.5755367, ""a"": -2.6265488, ""use"": -3.1086702}], ""text_offset"": [205, 214, 214, 214, 214, 214, 214, 214]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 42, ""completion_tokens"": 1, ""total_tokens"": 43}}"
17,"To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",Negative,"{""id"": ""cmpl-68Yf6wxbnIPfgDCgZT8koec4m1Qst"", ""object"": ""text_completion"", ""created"": 1667497884, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.19439043, -0.0019775657, -2.074081, -1.0222443, -0.6250042, -1.1749959, -0.11770936, -0.00016543045], ""top_logprobs"": [{""\n"": -1.8045921, ""Neg"": -5.9467096, "" Negative"": -0.19439043, "" The"": -5.992593, "" negative"": -6.5761185}, {""."": -6.360667, ""\n"": -9.187228, "" text"": -11.563168, ""<|endoftext|>"": -0.0019775657, ""\n\n"": -11.231999}, {""\"""": -3.7860548, ""\n"": -2.2785282, ""#"": -2.074081, ""Q"": -2.7912881, ""\n\n"": -3.9286976}, {""pr"": -3.343171, ""include"": -1.0222443, ""if"": -2.5285103, ""!/"": -1.8085158, "" -"": -3.5083811}, {""\"""": -5.2825923, "" <"": -0.6250042, ""\t"": -7.4466414, ""<"": -2.0798323, "" \"""": -1.1064543}, {""std"": -1.1749959, ""c"": -3.0211594, ""i"": -1.4404798, ""string"": -3.4236681, ""bits"": -1.9766698}, {""."": -4.5996885, ""except"": -4.534627, ""int"": -4.217537, ""lib"": -2.658496, ""io"": -0.11770936}, {"","": -13.16303, ""."": -0.00016543045, "">"": -9.247454, ""_"": -10.108491, ""h"": -12.079614}], ""text_offset"": [179, 188, 188, 188, 188, 188, 188, 188]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 44, ""completion_tokens"": 1, ""total_tokens"": 45}}"
19,"Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show.",Negative,"{""id"": ""cmpl-68Yf6OtQdON9sQJhmDG9ln45aSZPs"", ""object"": ""text_completion"", ""created"": 1667497884, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.16505527, -0.0038968776, -2.9331203, -1.0476787, -0.065706216, -0.07537142, -0.16290657, -1.0835048], ""top_logprobs"": [{"" Negative"": -0.16505527, ""\n"": -1.9971722, ""Neg"": -5.5493183, "" negative"": -5.7564225, "" The"": -5.917258}, {""<|endoftext|>"": -0.0038968776, ""."": -5.630686, ""\n"": -8.588498, ""\n\n"": -10.799271, "" text"": -11.186146}, {""\n"": -2.9331203, ""#"": -3.1397517, ""Q"": -3.221038, ""The"": -3.5386906, ""\"""": -3.7514164}, {""\\"": -1.0476787, ""\n"": -1.2700641, ""#"": -2.4269025, ""%"": -2.8319418, ""%%"": -3.5155976}, {""document"": -0.065706216, ""new"": -4.284471, ""Requ"": -4.5230365, ""def"": -4.7823086, ""begin"": -5.1455727}, {""class"": -0.07537142, ""style"": -2.631699, "" class"": -8.864928, "" style"": -9.5926695, ""Class"": -10.909201}, {""["": -0.16290657, ""{"": -1.9712045, "" ["": -5.15859, ""[]"": -5.594226, "" {"": -7.7754364}, {""12"": -1.0835048, ""11"": -2.1906738, ""10"": -2.6101906, ""a"": -2.6418993, ""use"": -3.111993}], ""text_offset"": [226, 235, 235, 235, 235, 235, 235, 235]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 52, ""completion_tokens"": 1, ""total_tokens"": 53}}"
20,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,Negative,"{""id"": ""cmpl-68YfGhKTKVJP3i9UlfBKO8xqt8DY2"", ""object"": ""text_completion"", ""created"": 1667497894, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" following"", "" is"", "" a""], ""token_logprobs"": [-0.12441225, -0.009305263, -2.6994057, -1.0915912, -3.1402025, -3.199434, -1.5508746, -0.4612081], ""top_logprobs"": [{""\n"": -2.2638507, ""Neg"": -5.53046, "" Negative"": -0.12441225, "" The"": -6.5177264, "" negative"": -5.978097}, {""."": -4.7197704, ""\n"": -8.742343, "" text"": -10.814319, ""<|endoftext|>"": -0.009305263, ""\n\n"": -10.719974}, {""\"""": -3.735022, ""\n"": -2.6994057, ""#"": -2.7810946, ""The"": -3.759172, ""Q"": -2.8177516}, {""import"": -3.5954595, ""\n"": -1.0915912, ""#"": -2.3115733, ""%"": -2.8983927, ""\\"": -1.2607512}, {""A"": -3.5876656, ""B"": -3.845182, ""I"": -4.1572986, ""The"": -3.1402025, ""("": -4.107657}, {""sa"": -4.992673, "" following"": -3.199434, "" product"": -4.3980417, "" Canadian"": -3.8121743, "" first"": -5.0098314}, {"" list"": -3.5186188, "" questions"": -1.6851187, "" is"": -1.5508746, "" message"": -2.3848004, "" are"": -3.0664754}, {"" a"": -0.4612081, "" the"": -2.6067483, "" an"": -2.1684253, "" from"": -2.461272, "" my"": -4.705507}], ""text_offset"": [205, 214, 214, 214, 214, 214, 214, 214]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 41, ""completion_tokens"": 1, ""total_tokens"": 42}}"
21,@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,Negative,"{""id"": ""cmpl-68YfS4gHox6S2aA5p2Ttyg4nRL2Tj"", ""object"": ""text_completion"", ""created"": 1667497906, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.1271132, -0.001549684, -2.1348598, -1.0098875, -0.05296338, -0.08416858, -0.17575037, -1.1292317], ""top_logprobs"": [{""\n"": -2.1995513, ""Neg"": -5.724163, "" Negative"": -0.1271132, "" The"": -7.1883335, "" negative"": -6.560844}, {""."": -6.648275, ""\n"": -8.87808, "" text"": -11.595341, ""<|endoftext|>"": -0.001549684, ""\n\n"": -11.4947}, {""\"""": -3.9056466, ""\n"": -2.1348598, ""#"": -2.2512996, ""Q"": -3.0062423, ""\n\n"": -3.8624775}, {""\n"": -1.526178, ""#"": -2.2423275, ""##"": -3.621879, ""%"": -3.0287676, ""\\"": -1.0098875}, {""Requ"": -4.786522, ""document"": -0.05296338, ""begin"": -5.352483, ""new"": -4.4505215, ""def"": -4.9343204}, {"" class"": -8.785167, "" style"": -9.423066, ""class"": -0.08416858, ""style"": -2.5252802, ""Class"": -10.854079}, {"" {"": -7.8663054, ""[]"": -5.572971, ""["": -0.17575037, "" ["": -5.3279953, ""{"": -1.8902183}, {""12"": -1.1292317, ""11"": -2.1559088, ""use"": -2.9926987, ""a"": -2.6144707, ""10"": -2.5418026}], ""text_offset"": [157, 166, 166, 166, 166, 166, 166, 166]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 40, ""completion_tokens"": 1, ""total_tokens"": 41}}"
22,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,Negative,"{""id"": ""cmpl-68YfSSQfrHT2QVWSi6okzVWcYfXxJ"", ""object"": ""text_completion"", ""created"": 1667497906, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.11905914, -0.014306806, -2.6988485, -1.0802354, -0.06931177, -0.077747814, -0.16483118, -1.0752897], ""top_logprobs"": [{"" Negative"": -0.11905914, ""\n"": -2.323734, ""Neg"": -5.21234, "" negative"": -5.849224, ""negative"": -6.6931577}, {""<|endoftext|>"": -0.014306806, ""."": -4.2915173, ""\n"": -8.301054, "" text"": -9.762502, ""\n\n"": -10.0343485}, {""\n"": -2.6988485, ""#"": -2.9816267, ""Q"": -3.0260441, ""The"": -3.558366, ""\"""": -3.7014906}, {""\\"": -1.0802354, ""\n"": -1.2320765, ""#"": -2.4861774, ""%"": -2.7299144, ""%%"": -3.5399969}, {""document"": -0.06931177, ""new"": -4.3621287, ""Requ"": -4.4600005, ""def"": -4.6684604, ""begin"": -5.103829}, {""class"": -0.077747814, ""style"": -2.601968, "" class"": -8.898276, "" style"": -9.563263, ""Class"": -10.693014}, {""["": -0.16483118, ""{"": -1.9558839, "" ["": -5.2220936, ""[]"": -5.6450553, "" {"": -7.7617583}, {""12"": -1.0752897, ""11"": -2.1610823, ""10"": -2.6247387, ""a"": -2.6895084, ""use"": -3.1217756}], ""text_offset"": [243, 252, 252, 252, 252, 252, 252, 252]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 52, ""completion_tokens"": 1, ""total_tokens"": 53}}"
23,@mashable For some reason this has filled me with delight. See Auntie laugh.,Positive,"{""id"": ""cmpl-68YfeuuHm3OcmmNhONFtjXaH2bofU"", ""object"": ""text_completion"", ""created"": 1667497918, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Positive"", ""index"": 0, ""logprobs"": {""tokens"": ["" Positive"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" following"", "" is"", "" a""], ""token_logprobs"": [-0.083234884, -0.00090635545, -2.4363916, -0.4581888, -3.1673918, -3.2295868, -1.6050382, -0.5177678], ""top_logprobs"": [{"" Positive"": -0.083234884, ""\n"": -2.6263049, "" positive"": -5.214567, ""Pos"": -7.375952, "" Negative"": -7.5389667}, {""<|endoftext|>"": -0.00090635545, ""."": -7.0802903, ""\n"": -10.3463335, ""\n\n"": -11.77348, "" text"": -13.236149}, {""\n"": -2.4363916, ""#"": -2.7394335, ""Q"": -2.75506, ""\"""": -3.5881712, ""The"": -3.726155}, {""\n"": -0.4581888, ""\\"": -1.9275894, ""#"": -2.7534256, ""%"": -3.514817, ""%%"": -4.18911}, {""The"": -3.1673918, ""A"": -3.6609654, ""B"": -3.742015, ""I"": -4.1416464, ""P"": -4.2504377}, {"" following"": -3.2295868, "" Canadian"": -3.9246447, "" product"": -4.4234986, ""sa"": -4.458548, "" first"": -4.99985}, {"" is"": -1.6050382, "" questions"": -1.7405214, "" message"": -2.2300043, "" are"": -3.1258242, "" list"": -3.6003335}, {"" a"": -0.5177678, "" an"": -2.0770264, "" from"": -2.3628604, "" the"": -2.5911968, "" my"": -4.5940385}], ""text_offset"": [158, 167, 167, 167, 167, 167, 167, 167]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 38, ""completion_tokens"": 1, ""total_tokens"": 39}}"
24,Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,Positive,"{""id"": ""cmpl-68YfqUBjFWa4tWK1Pxzldb3q7eeXA"", ""object"": ""text_completion"", ""created"": 1667497930, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Positive"", ""index"": 0, ""logprobs"": {""tokens"": ["" Positive"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" Canadian"", "" Press"", ""\n\n""], ""token_logprobs"": [-0.15023898, -0.0005331404, -2.7268937, -0.14345224, -2.9846437, -2.8412695, -0.001953082, -0.0023011372], ""top_logprobs"": [{""\n"": -2.034649, ""Pos"": -6.2979507, "" "": -6.9971757, "" Positive"": -0.15023898, "" positive"": -5.696469}, {""."": -7.9183164, ""\n"": -9.186144, "" text"": -11.603308, ""<|endoftext|>"": -0.0005331404, ""\n\n"": -10.7657585}, {""\"""": -3.6217816, ""\n"": -2.7268937, ""#"": -2.7422535, ""The"": -3.7353575, ""Q"": -3.3505986}, {""\"""": -4.9758444, ""\n"": -0.14345224, ""#"": -3.7266393, ""%"": -4.3649793, ""\\"": -3.1267176}, {""A"": -3.4734108, ""B"": -3.9889815, ""I"": -4.0299215, ""The"": -2.9846437, ""("": -3.801154}, {"" Associated"": -3.7423084, ""sa"": -4.8800616, "" following"": -3.4467826, "" product"": -4.330527, "" Canadian"": -2.8412695}, {"" government"": -8.379376, "" National"": -10.027433, "" Press"": -0.001953082, "" Government"": -10.232843, "" Association"": -9.881576}, {"","": -8.629073, "" &"": -8.462283, ""/"": -7.2747517, ""\n"": -7.5249114, ""\n\n"": -0.0023011372}], ""text_offset"": [203, 212, 212, 212, 212, 212, 212, 212]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 52, ""completion_tokens"": 1, ""total_tokens"": 53}}"
25,@rickysnecklace I'm so proud Mils! Keep smiling,Positive,"{""id"": ""cmpl-68YfrFhTBU2y92LmlRr4jp1aMB6Ey"", ""object"": ""text_completion"", ""created"": 1667497931, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Positive"", ""index"": 0, ""logprobs"": {""tokens"": ["" Positive"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.07493397, -0.00043987136, -2.3366024, -0.968251, -0.6619132, -1.1687905, -0.12657376, -0.00013931624], ""top_logprobs"": [{""\n"": -2.783034, ""Pos"": -6.7813015, "" Positive"": -0.07493397, "" Negative"": -6.360332, "" positive"": -5.092517}, {""."": -8.175574, ""\n"": -9.504347, "" text"": -11.968412, ""<|endoftext|>"": -0.00043987136, ""\n\n"": -10.389506}, {""\"""": -3.754993, ""\n"": -2.3815272, ""#"": -2.3366024, ""Q"": -2.7324193, ""\n\n"": -3.8075788}, {""pr"": -3.1705866, ""include"": -0.968251, ""if"": -2.5332458, ""!/"": -1.7996571, "" -"": -3.4649234}, {""\"""": -5.1130824, "" <"": -0.6619132, "" \""/"": -7.4391227, ""<"": -2.0584378, "" \"""": -1.05975}, {""std"": -1.1687905, ""c"": -3.0170686, ""i"": -1.4416691, ""string"": -3.364936, ""bits"": -2.0594766}, {""."": -4.5756702, ""except"": -4.442195, ""int"": -4.169751, ""lib"": -2.5817785, ""io"": -0.12657376}, {"","": -13.232077, ""."": -0.00013931624, "">"": -9.487078, ""_"": -10.214877, ""h"": -12.117635}], ""text_offset"": [129, 138, 138, 138, 138, 138, 138, 138]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 33, ""completion_tokens"": 1, ""total_tokens"": 34}}"
26,Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work.,Positive,"{""id"": ""cmpl-68Yg08hznoSIzV06muWhUE2TD4DQc"", ""object"": ""text_completion"", ""created"": 1667497940, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Positive"", ""index"": 0, ""logprobs"": {""tokens"": ["" Positive"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.080480464, -0.0015652627, -2.6940389, -1.1691772, -0.05846885, -0.08565436, -0.16614082, -1.0359532], ""top_logprobs"": [{"" Positive"": -0.080480464, ""\n"": -2.6323137, "" positive"": -6.0157456, ""Pos"": -6.181197, ""positive"": -8.340779}, {""<|endoftext|>"": -0.0015652627, ""."": -6.534208, ""\n"": -9.655846, ""\n\n"": -10.954312, "" text"": -12.831195}, {""\n"": -2.6940389, ""Q"": -2.8007078, ""#"": -2.8604565, ""The"": -3.4348032, ""\"""": -3.496933}, {""\\"": -1.1691772, ""\n"": -1.1847392, ""#"": -2.3718092, ""%"": -2.8811824, ""%%"": -3.4898913}, {""document"": -0.05846885, ""new"": -4.414622, ""Requ"": -4.628093, ""def"": -4.807175, ""begin"": -5.2283044}, {""class"": -0.08565436, ""style"": -2.508294, "" class"": -8.855142, "" style"": -9.433551, ""Class"": -10.851849}, {""["": -0.16614082, ""{"": -1.9471847, "" ["": -5.2374296, ""[]"": -5.6420717, "" {"": -7.834785}, {""12"": -1.0359532, ""11"": -2.194592, ""10"": -2.627774, ""a"": -2.6651206, ""use"": -3.1647744}], ""text_offset"": [225, 234, 234, 234, 234, 234, 234, 234]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 48, ""completion_tokens"": 1, ""total_tokens"": 49}}"
