stim_id,gpt3 ppl
11,"{""id"": ""cmpl-64wmPqZ5lJiyJwoHr39Ek0nicYYvX"", ""object"": ""text_completion"", ""created"": 1666637281, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed"", ""index"": 0, ""logprobs"": {""tokens"": [""I"", "" finally"", "" left"", "" the"", "" dark"", "" room"", "" I"", ""'ve"", "" been"", "" crying"", "" in"", "" &"", "" instead"", "" of"", "" getting"", "" some"", "" sun"", "" on"", "" my"", "" translucent"", "" skin"", "","", "" I"", "" got"", "" 6000"", "" mosquito"", "" bites"", ""."", "" #"", ""b"", ""less"", ""ed""], ""token_logprobs"": [null, -8.011681, -6.2543693, -1.2677407, -6.7504344, -3.4983168, -4.1209054, -3.7264695, -0.10936764, -7.68418, -0.13725334, -6.6274385, -8.129564, -0.6337627, -4.775908, -4.598244, -2.8219433, -3.8423524, -0.10508763, -12.175392, -0.3481341, -0.5507839, -0.13554822, -3.2090497, -13.8573265, -5.6408195, -0.008501825, -1.0674326, -4.0254087, -4.2568865, -0.11439564, -0.045444634], ""top_logprobs"": [null, {""'m"": -1.5297452}, {"" got"": -1.8845446}, {"" the"": -1.2677407}, {"" house"": -2.2038453}, {"" side"": -1.9745246}, {"" and"": -1.3458649}, {"" was"": -1.1618406}, {"" been"": -0.10936764}, {"" hiding"": -1.1126407}, {"" in"": -0.13725334}, {"" for"": -1.113608}, {"" I"": -1.7715899}, {"" of"": -0.6337627}, {"" looking"": -2.3509543}, {"" a"": -2.35671}, {"" sleep"": -1.6890333}, {"","": -1.0458044}, {"" my"": -0.10508763}, {"" face"": -0.1885518}, {"" skin"": -0.3481341}, {"","": -0.5507839}, {"" I"": -0.13554822}, {"" decided"": -1.6320776}, {"" a"": -1.5967461}, {"" likes"": -2.1236923}, {"" bites"": -0.008501825}, {""."": -1.0674326}, {"" \u2014"": -0.7561994}, {""sum"": -3.2453244}, {""less"": -0.11439564}, {""ed"": -0.045444634}], ""text_offset"": [0, 1, 9, 14, 18, 23, 28, 30, 33, 38, 45, 48, 50, 58, 61, 69, 74, 78, 81, 84, 96, 101, 102, 104, 108, 113, 122, 128, 129, 131, 132, 136]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 32, ""total_tokens"": 32}}"
12,"{""id"": ""cmpl-64wmPp02MBc4lxVoUFWn4J2PVkmTC"", ""object"": ""text_completion"", ""created"": 1666637281, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum, not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality."", ""index"": 0, ""logprobs"": {""tokens"": [""As"", "" A"", "" Rum"", ""or"", "" of"", "" Angels"", "" reveals"", "" itself"", "" to"", "" be"", "" a"", "" su"", ""d"", ""sy"", "" tub"", "" of"", "" supernatural"", "" h"", ""ok"", ""um"", "","", "" not"", "" even"", "" Ms"", ""."", "" Red"", ""grave"", ""'s"", "" no"", ""bl"", ""est"", "" efforts"", "" can"", "" redeem"", "" it"", "" from"", "" hopeless"", "" sentiment"", ""ality"", "".""], ""token_logprobs"": [null, -8.11955, -9.379382, -0.21205397, -5.2162642, -3.1453228, -5.7501326, -4.572318, -2.1603742, -0.43620947, -0.53472406, -9.229123, -4.854823, -0.035188276, -11.944228, -0.36661917, -6.2609386, -3.635991, -0.29251772, -0.0019385687, -0.21070999, -6.7453456, -1.1055348, -6.402718, -0.0068564536, -4.810844, -0.027325671, -0.9396725, -6.7119503, -2.674182, -0.30897346, -0.41765985, -0.25449574, -3.9943686, -0.27875796, -2.8719246, -7.786128, -5.331103, -0.007948759, -1.2217908], ""top_logprobs"": [null, {"" the"": -2.3964355}, {"" Man"": -1.1201514}, {""or"": -0.21205397}, {""\n"": -0.9659495}, {"" War"": -0.2933887}, {"")"": -1.8588679}, {"","": -0.16268645}, {"","": -0.63173157}, {"" be"": -0.43620947}, {"" a"": -0.53472406}, {"" book"": -2.828995}, {""i"": -0.7392868}, {""sy"": -0.035188276}, {"" soap"": -1.8824769}, {"" of"": -0.36661917}, {"" soap"": -2.3977125}, {"" soap"": -1.1989388}, {""ok"": -0.29251772}, {""um"": -0.0019385687}, {"","": -0.21070999}, {"" it"": -1.4514569}, {"" even"": -1.1055348}, {"" the"": -0.6596867}, {""."": -0.0068564536}, {"" B"": -3.5482852}, {""grave"": -0.027325671}, {""'s"": -0.9396725}, {"" performance"": -2.8614666}, {""-"": -0.10919111}, {""est"": -0.30897346}, {"" efforts"": -0.41765985}, {"" can"": -0.25449574}, {"" save"": -1.3140796}, {"" it"": -0.27875796}, {""."": -0.9853786}, {"" the"": -0.7413066}, {""ness"": -1.547238}, {""ality"": -0.007948759}, {"".''"": -0.9097247}], ""text_offset"": [0, 2, 4, 8, 10, 13, 20, 28, 35, 38, 41, 43, 46, 47, 49, 53, 56, 69, 71, 73, 75, 76, 80, 85, 88, 89, 93, 98, 100, 103, 105, 108, 116, 120, 127, 130, 135, 144, 154, 159]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 40, ""total_tokens"": 40}}"
13,"{""id"": ""cmpl-64wmRaHQLA0ke8NhsYxwZuEhq9Ts4"", ""object"": ""text_completion"", ""created"": 1666637283, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open"", ""index"": 0, ""logprobs"": {""tokens"": [""Be"", ""en"", "" at"", "" work"", "" for"", "" not"", "" even"", "" 4"", "" hours"", "" and"", "" I"", ""'ve"", "" thrown"", "" boiling"", "" tea"", "" everywhere"", "","", "" smashed"", "" a"", "" mug"", "","", "" smashed"", "" a"", "" milk"", "" jug"", "" and"", "" sliced"", "" my"", "" finger"", "" open""], ""token_logprobs"": [null, -3.7637563, -10.252186, -3.3418756, -1.6436242, -6.8917556, -0.4781417, -4.559632, -0.20133768, -0.38950664, -0.74990666, -2.558554, -7.7873993, -12.983134, -4.7157187, -5.84368, -0.9045144, -3.3515859, -0.67494524, -1.8734913, -0.6926076, -4.413756, -0.53073967, -6.217777, -0.44322592, -1.7649217, -5.928437, -0.51901835, -0.56363463, -0.39762402], ""top_logprobs"": [null, {""an"": -0.880474}, {""C"": -0.9423214}, {"" the"": -1.7489971}, {"" since"": -1.6428494}, {"" a"": -1.8078256}, {"" even"": -0.4781417}, {"" an"": -1.1300042}, {"" hours"": -0.20133768}, {"" and"": -0.38950664}, {"" I"": -0.74990666}, {""'m"": -0.95482546}, {"" already"": -0.8699473}, {"" up"": -0.30730894}, {"" water"": -0.15586022}, {"" over"": -1.0020574}, {"","": -0.9045144}, {"" dropped"": -2.7195046}, {"" a"": -0.67494524}, {"" glass"": -1.3526926}, {"","": -0.6926076}, {"" and"": -2.4646285}, {"" a"": -0.53073967}, {"" glass"": -1.6784304}, {"" jug"": -0.44322592}, {"","": -0.30161718}, {"" dropped"": -2.7229538}, {"" my"": -0.51901835}, {"" finger"": -0.56363463}, {"" open"": -0.39762402}], ""text_offset"": [0, 2, 4, 7, 12, 16, 20, 25, 27, 33, 37, 39, 42, 49, 57, 61, 72, 73, 81, 83, 87, 88, 96, 98, 103, 107, 111, 118, 121, 128]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 30, ""total_tokens"": 30}}"
14,"{""id"": ""cmpl-64wmRVzoRsTP0JuxNNQqV745XYV6q"", ""object"": ""text_completion"", ""created"": 1666637283, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""...Designed to provide a mix of smiles and tears, \""Crossroads'' instead provokes a handful of unintentional howlers and numerous yawns."", ""index"": 0, ""logprobs"": {""tokens"": [""..."", ""Des"", ""igned"", "" to"", "" provide"", "" a"", "" mix"", "" of"", "" smiles"", "" and"", "" tears"", "","", "" \"""", ""Cross"", ""roads"", ""''"", "" instead"", "" prov"", ""okes"", "" a"", "" handful"", "" of"", "" unintentional"", "" how"", ""lers"", "" and"", "" numerous"", "" yawn"", ""s"", "".""], ""token_logprobs"": [null, -11.3297415, -1.0923866, -1.3374043, -2.9145222, -1.6220686, -8.286539, -0.028310345, -11.665318, -0.67985326, -2.8119333, -0.4308892, -3.7759192, -8.716941, -0.93228316, -8.545073, -7.7703414, -6.021307, -0.084922686, -1.5985215, -6.6031303, -0.01599547, -5.912215, -6.2676344, -1.9098995, -2.0549283, -5.6856155, -1.94485, -0.006981351, -0.3844445], ""top_logprobs"": [null, {""\n"": -1.8330123}, {""igned"": -1.0923866}, {"" to"": -1.3374043}, {"" be"": -2.3539906}, {"" a"": -1.6220686}, {"" complete"": -3.2539308}, {"" of"": -0.028310345}, {"" practical"": -3.180432}, {"" and"": -0.67985326}, {"" thr"": -2.5909796}, {"","": -0.4308892}, {"" this"": -1.5332544}, {""The"": -1.5288919}, {""roads"": -0.93228316}, {""\"""": -0.2760263}, {"" is"": -0.59347993}, {"" is"": -2.0781114}, {""okes"": -0.084922686}, {"" a"": -1.5985215}, {"" lot"": -2.314911}, {"" of"": -0.01599547}, {"" chuck"": -1.8975323}, {"" laughs"": -0.88460225}, {""ls"": -0.16341479}, {""."": -0.8337846}, {"" a"": -1.0932398}, {"" eye"": -1.4954529}, {""s"": -0.006981351}, {""."": -0.3844445}], ""text_offset"": [0, 3, 6, 11, 14, 22, 24, 28, 31, 38, 42, 48, 49, 51, 56, 61, 63, 71, 76, 80, 82, 90, 93, 107, 111, 115, 119, 128, 133, 134]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 30, ""total_tokens"": 30}}"
15,"{""id"": ""cmpl-64wmU9w4qtD1fsFYTmLJdoDCwT1kg"", ""object"": ""text_completion"", ""created"": 1666637286, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland"", ""index"": 0, ""logprobs"": {""tokens"": [""It"", ""'s"", "" r"", ""ained"", "" every"", "" day"", "" since"", "" June"", "" 30"", ""."", "" That"", ""'s"", "" 13"", "" #"", ""d"", ""re"", ""ary"", "","", "" #"", ""s"", ""og"", ""gy"", "" days"", "" in"", "" a"", "" row"", ""."", "" #"", ""au"", ""ck"", ""land""], ""token_logprobs"": [null, -1.6767241, -10.339584, -2.7383494, -2.522308, -0.13489242, -1.3365567, -3.9016297, -4.5997643, -1.8448613, -4.4454675, -0.36994398, -5.867184, -12.092069, -4.5669465, -1.4656703, -0.04023609, -2.5479114, -0.5143468, -3.2060137, -0.03617054, -0.00016912498, -0.6555113, -0.67398053, -0.045920298, -0.0165644, -0.4815573, -2.1070263, -9.405289, -0.16438523, -0.009519102], ""top_logprobs"": [null, {""'s"": -1.6767241}, {"" a"": -1.8175445}, {""<|endoftext|>"": -2.4420033}, {"" for"": -1.7974478}, {"" day"": -0.13489242}, {"" for"": -0.9134133}, {"" you"": -1.3916425}, {"",\"""": -1.3790053}, {""th"": -0.7375721}, {""\n"": -0.45270443}, {""'s"": -0.36994398}, {"" a"": -2.4577603}, {"" days"": -0.2539681}, {""rain"": -1.9917983}, {""ang"": -1.2201058}, {""ary"": -0.04023609}, {""days"": -0.89139026}, {"" #"": -0.5143468}, {""rain"": -1.2399138}, {""og"": -0.03617054}, {""gy"": -0.00016912498}, {"" days"": -0.6555113}, {"" in"": -0.67398053}, {"" a"": -0.045920298}, {"" row"": -0.0165644}, {""."": -0.4815573}, {"" #"": -2.1070263}, {""Rain"": -2.42365}, {""ck"": -0.16438523}, {""land"": -0.009519102}], ""text_offset"": [0, 2, 4, 6, 11, 17, 21, 27, 32, 35, 36, 41, 43, 46, 48, 49, 51, 54, 55, 57, 58, 60, 62, 67, 70, 72, 76, 77, 79, 81, 83]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 31, ""total_tokens"": 31}}"
16,"{""id"": ""cmpl-64wmV8oy114o9XCaX19cBGVAP6z69"", ""object"": ""text_completion"", ""created"": 1666637287, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""With virtually no interesting elements for an audience to focus on, Chelsea Walls is a triple-espresso endurance challenge."", ""index"": 0, ""logprobs"": {""tokens"": [""With"", "" virtually"", "" no"", "" interesting"", "" elements"", "" for"", "" an"", "" audience"", "" to"", "" focus"", "" on"", "","", "" Chelsea"", "" Walls"", "" is"", "" a"", "" triple"", ""-"", ""esp"", ""resso"", "" endurance"", "" challenge"", "".""], ""token_logprobs"": [null, -9.754638, -1.8810043, -9.683395, -5.563862, -4.503252, -4.4857173, -1.9756054, -0.42706537, -4.0910163, -0.07362475, -0.27794427, -11.471469, -6.4529567, -0.83760303, -0.87518674, -11.8110075, -0.56009775, -8.179009, -0.00011297111, -6.79277, -5.2940116, -1.3580844], ""top_logprobs"": [null, {"" the"": -2.377729}, {"" every"": -1.22657}, {"" time"": -2.763042}, {"" news"": -3.2021267}, {"" to"": -1.2671415}, {"" the"": -1.2582393}, {"" audience"": -1.9756054}, {"" to"": -0.42706537}, {"" latch"": -1.8778164}, {"" on"": -0.07362475}, {"","": -0.27794427}, {"" the"": -1.2778068}, {""bytes:\\xe2\\x80"": -2.1806784}, {"" is"": -0.83760303}, {"" a"": -0.87518674}, {"" dull"": -3.012984}, {""-"": -0.56009775}, {""wh"": -1.7016795}, {""resso"": -0.00011297111}, {""-"": -1.2315893}, {"" test"": -0.031295836}, {""."": -1.3580844}], ""text_offset"": [0, 4, 14, 17, 29, 38, 42, 45, 54, 57, 63, 66, 67, 75, 81, 84, 86, 93, 94, 97, 102, 112, 122]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 23, ""total_tokens"": 23}}"
17,"{""id"": ""cmpl-64wmVpWNTbmAm3Xe23si7pqrD86ni"", ""object"": ""text_completion"", ""created"": 1666637287, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost"", ""index"": 0, ""logprobs"": {""tokens"": [""To"", "" #"", ""W"", ""y"", ""oming"", "":"", "" you"", "" have"", "" a"", "" beautiful"", "" state"", "" but"", "" your"", "" road"", "" signs"", "","", "" or"", "" lack"", "" thereof"", "","", "" are"", "" terrible"", ""."", "" #"", ""lost""], ""token_logprobs"": [null, -11.268556, -5.965071, -5.0564766, -0.8030389, -3.8864417, -5.171178, -2.662449, -1.2493954, -2.6774025, -0.39324555, -4.3168836, -1.7029935, -6.2077584, -0.83785844, -5.7306414, -5.204916, -0.38464186, -0.19943549, -0.073156066, -0.3461507, -2.5388532, -0.18306392, -2.6279764, -5.9394264], ""top_logprobs"": [null, {""String"": -2.0291767}, {""1"": -2.2914972}, {""ear"": -2.2129455}, {""oming"": -0.8030389}, {"" #"": -1.8149737}, {""\n"": -2.398802}, {"" are"": -1.4747261}, {"" a"": -1.2493954}, {"" chance"": -2.2148347}, {"" state"": -0.39324555}, {""."": -1.1251395}, {"" your"": -1.7029935}, {"" people"": -3.1825914}, {"" signs"": -0.83785844}, {"" are"": -0.4272874}, {"" especially"": -1.8292389}, {"" lack"": -0.38464186}, {"" thereof"": -0.19943549}, {"","": -0.073156066}, {"" are"": -0.3461507}, {"" a"": -2.0721698}, {""."": -0.18306392}, {"" I"": -2.3672757}, {""W"": -2.2892196}], ""text_offset"": [0, 2, 4, 5, 6, 11, 12, 16, 21, 23, 33, 39, 43, 48, 53, 59, 60, 63, 68, 76, 77, 81, 90, 91, 93]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 25, ""total_tokens"": 25}}"
19,"{""id"": ""cmpl-64wmV0fCdrALK7KlR6RBj61MIIdAi"", ""object"": ""text_completion"", ""created"": 1666637287, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Partway through watching this saccharine, Easter-egg-colored concoction, you realize that it is made up of three episodes of a rejected TV show."", ""index"": 0, ""logprobs"": {""tokens"": [""Part"", ""way"", "" through"", "" watching"", "" this"", "" sac"", ""char"", ""ine"", "","", "" Easter"", ""-"", ""egg"", ""-"", ""colored"", "" conco"", ""ction"", "","", "" you"", "" realize"", "" that"", "" it"", "" is"", "" made"", "" up"", "" of"", "" three"", "" episodes"", "" of"", "" a"", "" rejected"", "" TV"", "" show"", "".""], ""token_logprobs"": [null, -10.091664, -0.47415528, -6.9573436, -2.1179938, -12.045462, -0.007751247, -0.013401895, -1.6602392, -11.968977, -0.54761213, -3.3443227, -0.6201684, -1.2851361, -8.161259, -0.00012894507, -0.46054336, -2.3597445, -1.9687266, -0.60325366, -2.2422302, -2.563253, -6.1687326, -2.3882108, -0.41401735, -4.087175, -4.899888, -0.49266687, -1.2537571, -7.420766, -1.3945066, -1.3550826, -1.2529804], ""top_logprobs"": [null, {""ition"": -1.8422619}, {"" through"": -0.47415528}, {"" the"": -0.6499073}, {"" the"": -1.1916437}, {"","": -1.7706501}, {""char"": -0.007751247}, {""ine"": -0.013401895}, {"","": -1.6602392}, {"" sentimental"": -3.00232}, {""-"": -0.54761213}, {""themed"": -0.2164132}, {""-"": -0.6201684}, {""colored"": -1.2851361}, {"","": -1.9641443}, {""ction"": -0.00012894507}, {"","": -0.46054336}, {"" I"": -0.3583276}, {"" may"": -1.4685024}, {"" that"": -0.60325366}, {"" the"": -1.6675655}, {""'s"": -1.0987315}, {"" not"": -1.9062561}, {"" by"": -1.5479864}, {"" of"": -0.41401735}, {"" two"": -2.2296019}, {"" separate"": -1.9452375}, {"" of"": -0.49266687}, {"" the"": -0.838618}, {"" cartoon"": -2.2676594}, {"" TV"": -1.3945066}, {"" series"": -1.0726185}, {""."": -1.2529804}], ""text_offset"": [0, 4, 7, 15, 24, 29, 33, 37, 40, 41, 48, 49, 52, 53, 60, 66, 71, 72, 76, 84, 89, 92, 95, 100, 103, 106, 112, 121, 124, 126, 135, 138, 143]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 33, ""total_tokens"": 33}}"
20,"{""id"": ""cmpl-64wmVmFRSRAaxwaCtl3vFQFB8p0DL"", ""object"": ""text_completion"", ""created"": 1666637287, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep."", ""index"": 0, ""logprobs"": {""tokens"": [""Here"", ""'s"", "" yet"", "" another"", "" studio"", "" horror"", "" franchise"", "" m"", ""ucking"", "" up"", "" its"", "" storyline"", "" with"", "" glitches"", "" casual"", "" fans"", "" could"", "" correct"", "" in"", "" their"", "" sleep"", "".""], ""token_logprobs"": [null, -2.8272521, -7.5584984, -0.043392636, -10.257571, -10.480942, -5.509397, -9.098688, -2.9521418, -1.4658253, -0.88341427, -8.051758, -1.1375884, -13.379554, -15.317088, -1.7526189, -4.4916997, -10.551094, -1.1038847, -2.083011, -0.16607003, -0.28120682], ""top_logprobs"": [null, {"" is"": -1.1450305}, {"" a"": -1.2811058}, {"" another"": -0.043392636}, {"" example"": -1.5791591}, {"" that"": -2.161913}, {"" movie"": -1.4448111}, {"" that"": -0.7807179}, {""ired"": -0.50519115}, {"" up"": -1.4658253}, {"" its"": -0.88341427}, {"" own"": -1.8492309}, {"" with"": -1.1375884}, {"" a"": -0.9877002}, {"" and"": -1.1614653}, {"" audiences"": -1.3550779}, {"" won"": -1.5589528}, {"" care"": -0.69093025}, {"" with"": -1.0347413}, {"" a"": -1.5875943}, {"" sleep"": -0.16607003}, {""."": -0.28120682}], ""text_offset"": [0, 4, 6, 10, 18, 25, 32, 42, 44, 50, 53, 57, 67, 72, 81, 88, 93, 99, 107, 110, 116, 122]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 22, ""total_tokens"": 22}}"
21,"{""id"": ""cmpl-64wmWILDaVCldOvFwC6z94cpbbIvE"", ""object"": ""text_completion"", ""created"": 1666637288, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege"", ""index"": 0, ""logprobs"": {""tokens"": [""@"", ""Rain"", ""bow"", ""6"", ""Game"", "" felt"", "" guilt"", "" from"", "" playing"", "" this"", "" game"", ""."", "" #"", ""hor"", ""rible"", "" #"", ""Rain"", ""bow"", ""Six"", ""S"", ""iege""], ""token_logprobs"": [null, -14.636254, -1.8150179, -3.9571383, -0.42890018, -12.158068, -12.26867, -3.7641332, -4.3501077, -3.2184749, -0.4072297, -1.9789895, -4.767829, -9.551091, -0.994014, -1.6570449, -2.002607, -0.009487812, -0.5457826, -0.21342154, -0.0014196705], ""top_logprobs"": [null, {""Override"": -1.8470038}, {""bow"": -1.8150179}, {""_"": -2.8843896}, {""Game"": -0.42890018}, {"" @"": -1.3202559}, {"" like"": -0.84542876}, {"" for"": -2.0657785}, {"" the"": -1.750335}, {"" the"": -1.942638}, {"" game"": -0.4072297}, {""."": -1.9789895}, {"" I"": -1.6345816}, {""Rain"": -0.58809036}, {""ror"": -0.6635746}, {"" \u2014"": -1.4959749}, {""Rain"": -2.002607}, {""bow"": -0.009487812}, {""Six"": -0.5457826}, {""S"": -0.21342154}, {""iege"": -0.0014196705}], ""text_offset"": [0, 1, 5, 8, 9, 13, 18, 24, 29, 37, 42, 47, 48, 50, 53, 58, 60, 64, 67, 70, 71]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 21, ""total_tokens"": 21}}"
22,"{""id"": ""cmpl-64wmWEccdTQje1y2OkbDzJuKlqwZw"", ""object"": ""text_completion"", ""created"": 1666637288, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes."", ""index"": 0, ""logprobs"": {""tokens"": [""a"", "" nightmare"", "" date"", "" with"", "" a"", "" half"", ""-"", ""formed"", "" wit"", "" done"", "" a"", "" great"", "" dis"", ""service"", "" by"", "" a"", "" lack"", "" of"", "" critical"", "" distance"", "" and"", "" a"", "" sad"", "" trust"", "" in"", "" liberal"", "" arts"", "" college"", "" bumper"", "" sticker"", "" plat"", ""itudes"", "".""], ""token_logprobs"": [null, -13.5855055, -9.61866, -2.3746588, -1.4724504, -8.224979, -0.3023225, -5.781944, -8.682466, -12.927564, -5.4756527, -3.8495605, -1.017344, -0.03243105, -0.13760936, -1.7635952, -4.372157, -0.044627655, -7.901555, -2.0868363, -2.158136, -1.700721, -6.9855704, -9.933346, -0.17499958, -10.084164, -5.252792, -3.5245173, -8.222916, -2.6468499, -2.8216426, -0.0050250357, -1.0052896], ""top_logprobs"": [null, {"","": -2.6493382}, {""."": -2.036537}, {""\n"": -1.3072193}, {"" a"": -1.4724504}, {"" guy"": -2.738114}, {""-"": -0.3023225}, {""n"": -2.31335}, {"" person"": -2.6008809}, {""\n"": -1.3564477}, {"" up"": -0.76750255}, {"" dis"": -1.4943851}, {"" dis"": -1.017344}, {""service"": -0.03243105}, {"" by"": -0.13760936}, {"" the"": -1.7628943}, {"" bad"": -3.236026}, {"" of"": -0.044627655}, {"" editing"": -2.607233}, {"" editing"": -2.0072436}, {""."": -1.2070309}, {"" a"": -1.700721}, {"" sur"": -3.544933}, {""istic"": -1.9269766}, {"" in"": -0.17499958}, {"" the"": -1.0611368}, {"" p"": -2.0181422}, {"" education"": -0.9049793}, {"" education"": -2.1356587}, {"" stickers"": -0.16480298}, {"" slogans"": -2.5032117}, {""itudes"": -0.0050250357}, {""."": -1.0052896}], ""text_offset"": [0, 1, 11, 16, 21, 23, 28, 29, 35, 39, 44, 46, 52, 56, 63, 66, 68, 73, 76, 85, 94, 98, 100, 104, 110, 113, 121, 126, 134, 141, 149, 154, 160]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 33, ""total_tokens"": 33}}"
23,"{""id"": ""cmpl-64wmWFsbpRhkM4r5AgXLaM48gn0rU"", ""object"": ""text_completion"", ""created"": 1666637288, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""@mashable For some reason this has filled me with delight. See Auntie laugh."", ""index"": 0, ""logprobs"": {""tokens"": [""@"", ""m"", ""ash"", ""able"", "" For"", "" some"", "" reason"", "" this"", "" has"", "" filled"", "" me"", "" with"", "" delight"", ""."", "" See"", "" Aunt"", ""ie"", "" laugh"", "".""], ""token_logprobs"": [null, -5.667593, -6.4841304, -0.7661521, -9.14401, -3.5791423, -0.40378886, -3.5249074, -4.82226, -7.82627, -0.2714955, -0.024574315, -6.2460914, -0.8668089, -7.8712955, -12.190952, -0.46500218, -12.353478, -1.8015532], ""top_logprobs"": [null, {""Override"": -1.8470038}, {""ock"": -3.2754135}, {""able"": -0.7661521}, {""."": -0.21198738}, {"" the"": -1.9993895}, {"" reason"": -0.40378886}, {"","": -0.9614337}, {"" is"": -1.8399272}, {"" been"": -1.2039376}, {"" me"": -0.2714955}, {"" with"": -0.024574315}, {"" dread"": -1.8366619}, {""."": -0.8668089}, {"" pic"": -1.7609317}, {"" you"": -1.0309289}, {""ie"": -0.46500218}, {"","": -2.8934639}, {""."": -1.8015532}], ""text_offset"": [0, 1, 2, 5, 9, 13, 18, 25, 30, 34, 41, 44, 49, 57, 58, 62, 67, 69, 75]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 19, ""total_tokens"": 19}}"
24,"{""id"": ""cmpl-64wmWEcfBJnubhiUlXucNJFPiKnFY"", ""object"": ""text_completion"", ""created"": 1666637288, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Omgsh Alexis is sooooo freaking funny on #BachelorInParadise\u00a0 That pizza segment! Plus I love her and Jazzy's friendship!"", ""index"": 0, ""logprobs"": {""tokens"": [""O"", ""mg"", ""sh"", "" Alexis"", "" is"", "" so"", ""oooo"", "" freaking"", "" funny"", "" on"", "" #"", ""B"", ""achelor"", ""In"", ""Par"", ""ad"", ""ise"", ""\u00a0"", "" That"", "" pizza"", "" segment"", ""!"", "" Plus"", "" I"", "" love"", "" her"", "" and"", "" J"", ""az"", ""zy"", ""'s"", "" friendship"", ""!""], ""token_logprobs"": [null, -9.655434, -8.080524, -13.262537, -1.7795633, -0.87481964, -2.7444906, -6.8630157, -5.1826572, -6.8092985, -4.367371, -6.610875, -2.6937878, -0.15092663, -0.002357058, -0.0027562384, -0.0033904775, -13.403595, -11.18228, -10.035772, -6.0859437, -3.8964853, -8.055837, -3.4991922, -1.0812855, -1.1218591, -2.514885, -7.2094045, -8.508836, -0.6411667, -3.490679, -0.50276065, -2.1333702], ""top_logprobs"": [null, {"":"": -2.4296117}, {"","": -1.7606595}, {"","": -1.6946062}, {"" is"": -1.7795633}, {"" so"": -0.87481964}, {""oo"": -2.5019536}, {""o"": -1.5090475}, {"" hot"": -1.1948326}, {""\n"": -1.094512}, {"" twitter"": -2.409861}, {""SN"": -2.7394812}, {""GC"": -1.2075169}, {""In"": -0.15092663}, {""Par"": -0.002357058}, {""ad"": -0.0027562384}, {""ise"": -0.0033904775}, {""\n"": -1.379532}, {""\n"": -1.5459342}, {"" girl"": -0.81038123}, {"" scene"": -1.7620347}, {"" was"": -1.5455219}, {""bytes: \\xf0\\x9f\\x98"": -2.021109}, {"" she"": -0.7222398}, {"" love"": -1.0812855}, {"" her"": -1.1218591}, {"" and"": -2.514885}, {"" Jared"": -2.0846567}, {""uel"": -0.2968369}, {""zy"": -0.6411667}, {"" together"": -0.29276538}, {"" friendship"": -0.50276065}, {""."": -1.8644053}], ""text_offset"": [0, 1, 3, 5, 12, 15, 18, 22, 31, 37, 40, 42, 43, 50, 52, 55, 57, 60, 61, 66, 72, 80, 81, 86, 88, 93, 97, 101, 103, 105, 107, 109, 120]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 33, ""total_tokens"": 33}}"
