,Word,Length,HAL FREQ,HAL LOG FREG
10,jug,3,837,6.73
10,June,4,"28,477",10.257
10,kid,3,"20,833",9.944
10,kidding,7,"7,305",8.896
10,kids,4,"49,811",10.816
10,kind,4,"131,849",11.789
10,kinda,5,"15,886",9.673
10,laced,5,"1,190",7.082
10,language,8,"97,874",11.491
10,languish,8,103,4.635
10,late,4,"55,030",10.916
10,later,5,"108,034",11.59
10,laugh,5,"13,449",9.507
10,leads,5,"18,853",9.844
10,least,5,"201,524",12.214
10,leave,5,"76,506",11.245
10,left,4,"132,017",11.791
10,liberal,7,"19,800",9.893
10,line,4,"239,804",12.388
10,links,5,"23,704",10.073
10,little,6,"288,496",12.572
10,live,4,"128,442",11.763
10,local,5,"139,852",11.848
10,logic,5,"34,025",10.435
10,long,4,"273,917",12.521
10,longer,6,"73,185",11.201
10,loud,4,"11,931",9.387
10,love's,6,476,6.165
10,LOVETT,6,353,5.866
10,made,4,"271,084",12.51
10,madness,7,"4,556",8.424
10,mail,4,"260,346",12.47
10,makes,5,"134,406",11.809
10,malicious,9,"1,662",7.416
10,marc,4,"13,052",9.477
10,marquee,7,524,6.261
10,masterpiece,11,"2,362",7.767
10,may,3,"536,229",13.192
10,means,5,"130,928",11.782
10,medical,7,"53,004",10.878
10,mediocre,8,"2,673",7.891
10,men,3,"98,321",11.496
10,mesmerizing,11,143,4.963
10,message,7,"247,136",12.418
10,milk,4,"15,195",9.629
10,millennium,10,"1,811",7.502
10,minutes,7,"63,627",11.061
10,miss,4,"30,936",10.34
10,mistrust,8,485,6.184
10,mom,3,"15,795",9.667
10,morning,7,"36,262",10.499
10,mosquito,8,812,6.7
10,most,4,"495,365",13.113
10,mother's,8,"5,005",8.518
10,mounted,7,"8,934",9.098
10,much,4,"483,898",13.09
10,mug,3,"1,642",7.404
10,navy,4,"8,936",9.098
10,neighbors,9,"6,228",8.737
10,new,3,"709,084",13.472
10,nightmare,9,"8,471",9.044
10,nominate,8,"1,338",7.199
10,nothing,7,"160,745",11.988
10,noticed,7,"37,506",10.532
10,obstacles,9,"1,893",7.546
10,odds,4,"8,295",9.023
10,ok,2,"97,012",11.483
10,oldest,6,"4,630",8.44
10,opium,5,"2,048",7.625
10,opted,5,"1,306",7.175
10,optimism,8,882,6.782
10,outer,5,"7,116",8.87
10,overdoses,9,114,4.736
10,overtime,8,"2,029",7.615
10,own,3,"284,270",12.558
10,pain,4,"36,596",10.508
10,paradise,8,"11,010",9.307
10,paradox,7,"6,463",8.774
10,patient,7,"14,671",9.594
10,patients,8,"14,318",9.569
10,perfectly,9,"21,653",9.983
10,performances,12,"5,061",8.529
10,photographs,11,"5,529",8.618
10,pictures,8,"34,996",10.463
10,picturing,9,232,5.447
10,pie,3,"4,935",8.504
10,piece,5,"46,129",10.739
10,pilot,5,"16,024",9.682
10,pizza,5,"5,507",8.614
10,placed,6,"27,615",10.226
10,platitudes,10,221,5.398
10,playing,7,"73,055",11.199
10,pleasant,8,"6,736",8.815
10,points,6,"95,563",11.468
10,portal,6,"2,171",7.683
10,portals,7,223,5.407
10,prediction,10,"5,401",8.594
10,presented,9,"19,752",9.891
10,preview,7,"5,581",8.627
10,probably,8,"205,006",12.231
10,productions,11,"7,812",8.963
10,profession,10,"4,960",8.509
10,program,7,"241,495",12.395
10,proud,5,"16,648",9.72
10,pseudo,6,"1,411",7.252
10,psychological,13,"7,440",8.915
10,punctuation,11,"1,323",7.188
10,quality,7,"78,895",11.276
10,quote,5,"34,045",10.435
10,rage,4,"6,289",8.747
10,rainbow,7,"6,749",8.817
10,rained,6,610,6.413
10,rare,4,"36,258",10.498
10,re,2,"31,787",10.367
10,read,4,"289,582",12.576
10,realize,7,"34,837",10.458
10,reason,6,"133,687",11.803
10,recent,6,"61,027",11.019
10,recipient,9,"4,373",8.383
10,redeems,7,65,4.174
10,redundant,9,"3,338",8.113
10,references,10,"35,569",10.479
10,referential,11,319,5.765
10,refreshingly,12,99,4.595
10,regard,6,"15,551",9.652
10,rejected,8,"8,830",9.086
10,reliable,8,"16,975",9.739
10,remarkable,10,"4,257",8.356
10,remind,6,"7,594",8.935
10,removing,8,"9,709",9.181
10,repeatedly,10,"8,060",8.995
10,responded,9,"13,446",9.506
10,responding,10,"13,236",9.491
10,restorations,12,127,4.844
10,return,6,"83,751",11.336
10,right,5,"388,384",12.87
10,riveted,7,272,5.606
10,road,4,"66,722",11.108
10,room,4,"85,138",11.352
10,rote,4,394,5.976
10,saccharine,10,137,4.92
10,sad,3,"17,183",9.752
10,satisfaction,12,"7,083",8.865
10,saying,6,"95,390",11.466
10,scare,5,"4,294",8.365
10,searching,9,"17,654",9.779
10,second,6,"150,377",11.921
10,seem,4,"122,295",11.714
10,segment,7,"11,246",9.328
10,sentence,8,"14,984",9.615
10,serious,7,"55,817",10.93
10,service,7,"171,115",12.05
10,share,5,"57,769",10.964
10,short,5,"95,521",11.467
10,sick,4,"22,109",10.004
10,signs,5,"14,885",9.608
10,since,5,"320,454",12.677
10,sketch,6,"2,053",7.627
10,skid,4,783,6.663
10,skin,4,"24,973",10.126
10,sliced,6,"1,803",7.497
10,smart,5,"17,782",9.786
10,smiling,7,"4,457",8.402
10,soggy,5,378,5.935
10,sometimes,9,"82,167",11.317
10,sources,7,"47,903",10.777
10,south,5,"66,282",11.102
10,specifying,10,"2,747",7.918
10,speedy,6,"1,483",7.302
10,stands,6,"18,459",9.823
10,state,5,"199,232",12.202
10,sticker,7,"4,594",8.433
10,stoic,5,165,5.106
10,stories,7,"40,302",10.604
10,strategy,8,"19,202",9.863
10,stretched,9,"4,246",8.354
10,string,6,"33,204",10.41
10,struggle,8,"9,992",9.21
10,study,5,"50,899",10.838
10,subtly,6,655,6.485
10,success,7,"37,069",10.521
10,such,4,"371,015",12.824
10,suggestion,10,"17,517",9.771
10,suggestions,11,"52,002",10.859
10,suit,4,"18,276",9.813
10,sun,3,"74,083",11.213
10,support,7,"248,197",12.422
10,sure,4,"260,476",12.47
10,sweetie,7,685,6.529
10,sweetness,9,673,6.512
10,talk,4,"91,547",11.425
10,tea,3,"8,688",9.07
10,terrible,8,"12,323",9.419
10,terrific,8,"3,890",8.266
10,them,4,"801,560",13.594
10,thereof,7,"5,200",8.556
10,three,5,"165,169",12.015
10,through,7,"305,803",12.631
10,throw,5,"28,289",10.25
10,thrown,6,"10,415",9.251
10,timer,5,"6,360",8.758
10,tips,4,"17,439",9.766
10,tired,5,"19,063",9.856
10,tons,4,"10,820",9.289
10,too,3,"388,628",12.87
10,touches,7,"2,857",7.958
10,track,5,"45,579",10.727
10,translucent,11,508,6.23
10,travel,6,"45,977",10.736
10,tree,4,"27,218",10.212
10,tried,5,"119,845",11.694
10,triple,6,"6,475",8.776
10,trouble,7,"49,725",10.814
10,tweets,6,59,4.078
10,twice,5,"46,140",10.739
10,twisted,7,"6,939",8.845
10,unwell,6,73,4.29
10,upset,5,"11,355",9.337
10,urgency,7,872,6.771
10,variable,8,"20,715",9.939
10,verify,6,"9,374",9.146
10,video,5,"110,183",11.61
10,virtually,9,"14,939",9.612
10,wailing,7,555,6.319
10,walk,4,"33,093",10.407
10,walls,5,"12,120",9.403
10,want,4,"508,123",13.138
10,war,3,"109,438",11.603
10,was,3,"2,096,827",14.556
10,washed,6,"3,200",8.071
10,way,3,"490,087",13.102
10,weeks,5,"69,740",11.153
10,welcome,7,"55,024",10.916
10,were,4,"663,883",13.406
10,weren't,7,"20,532",9.93
10,what's,6,"72,133",11.186
10,who,3,"931,859",13.745
10,whole,5,"120,697",11.701
10,wife,4,"38,746",10.565
10,window,6,"54,926",10.914
10,wish,4,"74,280",11.216
10,wishing,7,"5,284",8.572
10,wit,3,"4,144",8.329
10,women,5,"111,268",11.62
10,wouldn't,8,"87,980",11.385
10,writhing,8,817,6.706
10,Wyoming,7,"1,981",7.591
10,year,4,"246,566",12.415
10,yes,3,"197,092",12.191
10,you'd,5,"41,121",10.624
10,young,5,"66,849",11.11
17,delete,6,"18,824",9.843
17,editor,6,"45,222",10.719
17,next,4,"188,009",12.144
17,novel,5,"12,250",9.413
17,posts,5,"64,803",11.079
17,solution,8,"52,273",10.864
17,something,9,"331,899",12.713
17,summary,7,"21,338",9.968
17,topic,5,"34,583",10.451
19,action,6,"77,756",11.261
19,another,7,"286,263",12.565
19,being,5,"362,268",12.8
19,central,7,"42,496",10.657
19,correct,7,"77,798",11.262
19,even,4,"490,549",13.103
19,feel,4,"162,048",11.996
19,instead,7,"106,318",11.574
19,itself,6,"76,297",11.242
19,method,6,"49,828",10.816
19,movie,5,"61,248",11.023
19,now,3,"599,476",13.304
19,out,3,"1,090,659",13.902
19,passion,7,"6,347",8.756
19,plot,4,"17,284",9.758
19,school,6,"119,951",11.695
19,tears,5,"9,280",9.136
20,accept,6,"49,430",10.808
20,add,3,"113,856",11.643
20,after,5,"414,103",12.934
20,algorithm,9,"10,946",9.301
20,anniversary,11,"6,164",8.726
20,answer,6,"109,246",11.601
20,apparently,10,"41,745",10.639
20,audience,8,"20,905",9.948
20,baseball,8,"18,372",9.819
20,beautiful,9,"31,342",10.353
20,boys,4,"23,926",10.083
20,citation,8,"2,405",7.785
20,code,4,"148,173",11.906
20,comment,7,"41,761",10.64
20,complements,11,379,5.938
20,connect,7,"37,477",10.531
20,days,4,"158,630",11.974
20,does,4,"525,612",13.172
20,edits,5,"1,086",6.99
20,egg,3,"14,967",9.614
20,enough,6,"191,008",12.16
20,exist,5,"48,160",10.782
20,far,3,"176,812",12.083
20,filled,6,"18,920",9.848
20,films,5,"17,142",9.749
20,flattered,9,568,6.342
20,function,8,"57,907",10.967
20,game,4,"197,271",12.192
20,give,4,"230,878",12.35
20,got,3,"301,021",12.615
20,grateful,8,"10,278",9.238
20,guys,4,"58,720",10.981
20,has,3,"1,175,962",13.978
20,hear,4,"90,309",11.411
20,heart,5,"45,783",10.732
20,her,3,"594,844",13.296
20,here,4,"477,382",13.076
20,hours,5,"77,067",11.252
20,I've,4,"339,236",12.734
20,IM,2,"19,073",9.856
20,important,9,"105,978",11.571
20,know,4,"800,100",13.592
20,lack,4,"41,016",10.622
20,last,4,"291,284",12.582
20,let,3,"206,685",12.239
20,make,4,"520,909",13.163
20,managing,8,"8,953",9.1
20,mind,4,"131,156",11.784
20,motivates,9,384,5.951
20,moving,6,"36,725",10.511
20,nice,4,"113,119",11.636
20,only,4,"828,014",13.627
20,open,4,"145,040",11.885
20,path,4,"43,722",10.686
20,perseverance,12,315,5.753
20,platinum,8,"3,511",8.164
20,plus,4,"99,584",11.509
20,proper,6,"31,703",10.364
20,row,3,"14,013",9.548
20,section,7,"94,926",11.461
20,sense,5,"77,530",11.258
20,show,4,"178,842",12.094
20,shut,4,"19,700",9.888
20,sit,3,"25,658",10.153
20,smashed,7,"1,806",7.499
20,source,6,"186,065",12.134
20,special,7,"105,765",11.569
20,story,5,"96,953",11.482
20,tailor,6,"1,778",7.483
20,that's,6,"236,693",12.375
20,theirs,6,"5,053",8.528
20,then,4,"705,900",13.467
20,there's,7,"118,099",11.679
20,these,5,"591,805",13.291
20,they,4,"1,617,818",14.297
20,trust,5,"29,358",10.287
20,trying,6,"159,951",11.983
20,Tuesday,7,"13,750",9.529
20,twin,4,"7,940",8.98
20,understand,10,"107,528",11.586
20,user,4,"118,645",11.684
20,value,5,"82,888",11.325
20,very,4,"587,578",13.284
20,watch,5,"56,974",10.95
20,watching,8,"29,939",10.307
20,weary,5,"1,145",7.043
20,well,4,"552,532",13.222
20,where,5,"454,613",13.027
20,will,4,"1,706,009",14.35
20,without,7,"254,348",12.446
20,wrong,5,"138,848",11.841
27,discussing,10,"14,186",9.56
27,edit,4,"20,183",9.913
27,page,4,"157,108",11.965
27,sorry,5,"93,412",11.445
27,their,5,"844,722",13.647
27,time,4,"788,823",13.578
29,could,5,"544,756",13.208
30,actual,6,"40,919",10.619
30,better,6,"284,711",12.559
30,big,3,"178,681",12.093
30,bitter,6,"5,910",8.684
30,come,4,"232,041",12.355
30,day,3,"239,111",12.385
30,few,3,"264,493",12.486
30,fine,4,"111,801",11.624
30,going,5,"305,772",12.631
30,great,5,"260,267",12.469
30,hey,3,"58,421",10.975
30,keep,4,"183,906",12.122
30,look,4,"253,524",12.443
30,lost,4,"78,090",11.266
30,love,4,"165,830",12.019
30,over,4,"452,595",13.023
30,point,5,"256,288",12.454
30,possible,8,"159,908",11.982
30,post,4,"275,951",12.528
30,really,6,"398,246",12.895
30,said,4,"352,357",12.772
30,seems,5,"164,633",12.011
30,should,6,"594,293",13.295
30,still,5,"363,407",12.803
30,those,5,"415,648",12.938
30,use,3,"677,371",13.426
30,would,5,"1,278,502",14.061
30,write,5,"132,648",11.795
34,banned,6,"7,274",8.892
37,about,5,"1,307,019",14.083
37,yourself,8,"84,061",11.339
40,any,3,"1,138,564",13.945
40,been,4,"735,347",13.508
40,done,4,"173,968",12.067
40,get,3,"978,898",13.794
40,if,2,"2,311,232",14.653
40,like,4,"1,060,831",13.875
40,please,6,"580,704",13.272
40,thanks,6,"253,766",12.444
40,think,5,"652,944",13.389
40,when,4,"944,467",13.758
40,you're,6,"225,850",12.328
47,how,3,"747,700",13.525
49,can,3,"1,625,073",14.301
49,film,4,"52,691",10.872
49,its,3,"388,805",12.871
49,life,4,"219,561",12.299
50,am,2,"547,593",13.213
50,good,4,"628,816",13.352
50,it's,4,"665,860",13.409
50,just,4,"1,020,539",13.836
50,question,8,"184,252",12.124
50,see,3,"580,882",13.272
50,thank,5,"95,706",11.469
50,we,2,"1,245,247",14.035
57,why,3,"361,343",12.798
58,work,4,"451,298",13.02
60,need,4,"415,850",12.938
60,one,3,"1,428,618",14.172
60,or,2,"2,616,965",14.778
69,be,2,"3,095,437",14.945
70,at,2,"1,977,887",14.498
70,than,4,"702,491",13.462
70,using,5,"339,069",12.734
70,what,4,"1,325,779",14.098
79,by,2,"1,790,440",14.398
79,more,4,"1,076,711",13.889
79,up,2,"931,275",13.744
80,all,3,"1,699,638",14.346
80,do,2,"1,360,645",14.123
80,happy,5,"70,881",11.169
80,so,2,"1,261,201",14.048
80,some,4,"1,042,740",13.857
86,not,3,"2,605,564",14.773
90,but,3,"2,128,964",14.571
94,from,4,"1,894,943",14.455
97,I'm,3,"606,965",13.316
99,no,2,"1,157,549",13.962
120,me,2,"1,303,959",14.081
124,this,4,"3,251,989",14.995
127,your,4,"1,711,893",14.353
140,are,3,"2,984,459",14.909
147,an,2,"1,578,013",14.272
149,in,2,"8,015,301",15.897
149,on,2,"3,536,061",15.079
166,with,4,"3,184,846",14.974
168,as,2,"2,642,511",14.787
170,my,2,"1,768,938",14.386
179,that,4,"5,262,331",15.476
199,have,4,"3,003,873",14.915
235,it,2,"4,709,218",15.365
286,for,3,"4,958,036",15.417
319,is,2,"6,474,135",15.683
345,and,3,"10,715,411",16.187
350,I,1,"7,203,352",15.79
360,of,2,"11,003,606",16.214
479,you,3,"5,030,485",15.431
593,to,2,"12,661,276",16.354
597,a,1,"10,610,626",16.177
769,the,3,"23,099,033",16.955
,friends,7,"77,337",11.256
,crossroads,10,"2,628",7.874
